q,I
2.039995227691266191e-03,9.970445740707694071e-01
2.884988915472701341e-03,9.970390427115108922e-01
4.079990443907558634e-03,9.970279800851510332e-01
4.561567985786952814e-03,9.970224488180499112e-01
5.769977798489278956e-03,9.970058552010572228e-01
6.119985637173905313e-03,9.970003240568301450e-01
6.451031280947622237e-03,9.969947929433212730e-01
7.355307312395488115e-03,9.969781997871001167e-01
8.159980796015335949e-03,9.969616069073363729e-01
8.411115673360307007e-03,9.969560760088489459e-01
8.654966616593607817e-03,9.969505451410786145e-01
9.123135843279811530e-03,9.969394834976870179e-01
1.019997590895688026e-02,9.969118299267388794e-01
1.040197522983762890e-02,9.969062993046962085e-01
1.098571021851045895e-02,9.968897076228578902e-01
1.153995533732957157e-02,9.968731162174522265e-01
1.189511367037668702e-02,9.968620554340860140e-01
1.223997096452355930e-02,9.968509947735750831e-01
1.240880611419042413e-02,9.968454644893900429e-01
1.290206219902475908e-02,9.968288738211141808e-01
1.306234239683946516e-02,9.968233436597810915e-01
1.368470344418450113e-02,9.968012233215743922e-01
1.427996595124041666e-02,9.967791034747589540e-01
1.442494392824105777e-02,9.967735735898338723e-01
1.471061408693418067e-02,9.967625139121161215e-01
1.485138870719507689e-02,9.967569841193238966e-01
1.553613996092941853e-02,9.967293356160167317e-01
1.593287116970286410e-02,9.967127468825507375e-01
1.631996085763248380e-02,9.966961584254675488e-01
1.644696634412803546e-02,9.966906290011904312e-01
1.682223054240777546e-02,9.966740409126110256e-01
1.730993235687195569e-02,9.966519238910825917e-01
1.742972568931764471e-02,9.966463947124694078e-01
1.754870129082577307e-02,9.966408655645634385e-01
1.824627066020698477e-02,9.966076913219680256e-01
1.835995567222479391e-02,9.966021623890074510e-01
1.847294106391786719e-02,9.965966334867527587e-01
1.880782521324880774e-02,9.965800469642210890e-01
1.924527489978983610e-02,9.965579320307169642e-01
1.935309239136105003e-02,9.965524033741022247e-01
2.009162110562816989e-02,9.965137036375106838e-01
2.019492059076618412e-02,9.965081752265252391e-01
2.039995038354239579e-02,9.964971184966634477e-01
2.050169638394351568e-02,9.964915901777866569e-01
2.080394893838666617e-02,9.964750054053690409e-01
2.100303428620180213e-02,9.964639490439337610e-01
2.129817329737170375e-02,9.964473647320424288e-01
2.168544445066949641e-02,9.964252527460000231e-01
2.197141864497730718e-02,9.964086690788229728e-01
2.206591978575950935e-02,9.964031412511638042e-01
2.243994498011032609e-02,9.963810302475215597e-01
2.253248120716104183e-02,9.963755025733588289e-01
2.280783736305330017e-02,9.963589197350636306e-01
2.307990859746765835e-02,9.963423371730523170e-01
2.325952144638289421e-02,9.963312822852009587e-01
2.379022506581343621e-02,9.962981183583792255e-01
2.387752891504177702e-02,9.962925911446808280e-01
2.447993945045363537e-02,9.962539015082768623e-01
2.456479215828269794e-02,9.962483745401436996e-01
2.464935277133603955e-02,9.962428476027054280e-01
2.481760964579875564e-02,9.962317938199128919e-01
2.490131174758812918e-02,9.962262669745580723e-01
2.523334380282999875e-02,9.962041599000790448e-01
2.556106320056687406e-02,9.961820533166966252e-01
2.580412149508635664e-02,9.961654737014351557e-01
2.596489634452030237e-02,9.961544207780563820e-01
2.612468178117708859e-02,9.961433679774446270e-01
2.651993378309737068e-02,9.961157365130175467e-01
2.659827937576926191e-02,9.961102103122051465e-01
2.683194363687888689e-02,9.960936318939108691e-01
2.721692650396959415e-02,9.960660018105536029e-01
2.736940342442954754e-02,9.960549499920364758e-01
2.744532421978493689e-02,9.960494241288115891e-01
2.774693014105896263e-02,9.960273209827971153e-01
2.834051433815391527e-02,9.959831161637840991e-01
2.841384047375800775e-02,9.959775906994992045e-01
2.855992796656659991e-02,9.959665398629887756e-01
2.863269220533962156e-02,9.959610144907631302e-01
2.884988379946807832e-02,9.959444385582014725e-01
2.899377433248117100e-02,9.959333880899214897e-01
2.920828105393829047e-02,9.959168126176398683e-01
2.942122387101533607e-02,9.959002374215197850e-01
2.970277298682157119e-02,9.958781375896036403e-01
3.012016245301245634e-02,9.958449887622292662e-01
3.032670304417848031e-02,9.958284147627571858e-01
3.059992198938637012e-02,9.958063165263401073e-01
3.066784639935127635e-02,9.958007920439391203e-01
3.087072292210831653e-02,9.957842187808230161e-01
3.107227485319527527e-02,9.957676457938318126e-01
3.113916892694700705e-02,9.957621215261948100e-01
3.120591960435979695e-02,9.957565972892377104e-01
3.166923516863922455e-02,9.957179284895605331e-01
3.173487092985495528e-02,9.957124044980365518e-01
3.186573687244169395e-02,9.957013566070230803e-01
3.193096871604196585e-02,9.956958327075334791e-01
3.225514914733089433e-02,9.956682136702488251e-01
3.263991584008174573e-02,9.956350718378451647e-01
3.270360351064555832e-02,9.956295483064779850e-01
3.289392667483680144e-02,9.956129778964309951e-01
3.295712348735862357e-02,9.956074544877658861e-01
3.320870810933192890e-02,9.955853611598548536e-01
3.345840103428309592e-02,9.955632683227345625e-01
3.364445465031549315e-02,9.955466990169689057e-01
3.376792089054223012e-02,9.955356529664917131e-01
3.395227842107285954e-02,9.955190841208216845e-01
3.419654243798742055e-02,9.954969927560073373e-01
3.461985770322491274e-02,9.954583340484360887e-01
3.467990950717780851e-02,9.954528114986092024e-01
3.473985750467229600e-02,9.954472889794524493e-01
3.485944422155790728e-02,9.954362440331497863e-01
3.491908400012783131e-02,9.954307216060028773e-01
3.509739527700848905e-02,9.954141545085801734e-01
3.521576787511920825e-02,9.954031099303107810e-01
3.562697486253418172e-02,9.953644548724256413e-01
3.568533191137281124e-02,9.953589328439710338e-01
3.609118927899546136e-02,9.953202795034663541e-01
3.614879692626892654e-02,9.953147577203460550e-01
3.632107165346382116e-02,9.952981925549813091e-01
3.649253310959686691e-02,9.952816276656064609e-01
3.671990297919962287e-02,9.952595415757494735e-01
3.677652580484624262e-02,9.952540201299467926e-01
3.694587360719665814e-02,9.952374559765224671e-01
3.722640801224599144e-02,9.952098496674195438e-01
3.744932248692246085e-02,9.951877651720694162e-01
3.750484408712197876e-02,9.951822441248874274e-01
3.761564143401163046e-02,9.951712021225094240e-01
3.794609244172588575e-02,9.951380768512488872e-01
3.811024346468103868e-02,9.951215146295392389e-01
3.832801791345060577e-02,9.950994320964998696e-01
3.849054016492004654e-02,9.950828705186443024e-01
3.870617498522536254e-02,9.950607888440612392e-01
3.875989624467229833e-02,9.950552685020614962e-01
3.881354314917708631e-02,9.950497481907193409e-01
3.897404080134885679e-02,9.950331874406409538e-01
3.918701514051504964e-02,9.950111068697381489e-01
3.924007811400708617e-02,9.950055868036543627e-01
3.939883823935689394e-02,9.949890267893418683e-01
3.960952856762336993e-02,9.949669471994417869e-01
4.007953248976016403e-02,9.949172699154860133e-01
4.018323124877316854e-02,9.949062308562475199e-01
4.023498040345355187e-02,9.949007113726086038e-01
4.038983004909019181e-02,9.948841531056105136e-01
4.049273416554822341e-02,9.948731144142090033e-01
4.064660186652464813e-02,9.948565566069994537e-01
4.079988929212089582e-02,9.948399990756572331e-01
4.085085728030639352e-02,9.948344799598461963e-01
4.100338112036916449e-02,9.948179227963196425e-01
4.105409647680074298e-02,9.948124038031126437e-01
4.125633447444491259e-02,9.947903281367875827e-01
4.130673926145050912e-02,9.947848092968314404e-01
4.160788570647223211e-02,9.947516969007320631e-01
4.185718603766297452e-02,9.947241040801558798e-01
4.200605604935387510e-02,9.947075487555852025e-01
4.205556228055404300e-02,9.947020303753566495e-01
4.244953367786905019e-02,9.946578844368103578e-01
4.259633353631106512e-02,9.946413302155147074e-01
4.283988211007053182e-02,9.946137404595926101e-01
4.288842586119871736e-02,9.946082226003422067e-01
4.303372855910002348e-02,9.945916692064552533e-01
4.322670572623093371e-02,9.945695984436176973e-01
4.327481555667358343e-02,9.945640808295161950e-01
4.337087511753947439e-02,9.945530456932420993e-01
4.361009832230162975e-02,9.945254583887973565e-01
4.365778566393307275e-02,9.945199410198346524e-01
4.380053617452187020e-02,9.945033890967934775e-01
4.394282295361581769e-02,9.944868374495215990e-01
4.403742539809685913e-02,9.944758031712096491e-01
4.413182504939767992e-02,9.944647690154581055e-01
4.455414841131847409e-02,9.944151168312284073e-01
4.474056808875034180e-02,9.943930499903956832e-01
4.478705176640531554e-02,9.943875333567817609e-01
4.487987468704628807e-02,9.943765001814661719e-01
4.492621422845156920e-02,9.943709836397640611e-01
4.506494695142032603e-02,9.943544341984789092e-01
4.515719864590102967e-02,9.943434013908044600e-01
4.529522389993100029e-02,9.943268524090627114e-01
4.561565868936025281e-02,9.942882391905681905e-01
4.584316940546767638e-02,9.942606592392491116e-01
4.602436823723779491e-02,9.942385958295978376e-01
4.615980057741630310e-02,9.942220485940053143e-01
4.624986847990811972e-02,9.942110172567720783e-01
4.651902588425650686e-02,9.941779239802331913e-01
4.656373418910968870e-02,9.941724085413530254e-01
4.660839960814349564e-02,9.941668931331031356e-01
4.691986701157330880e-02,9.941282861330034137e-01
4.696419372944889148e-02,9.941227709697939563e-01
4.709692356602515617e-02,9.941062256639402461e-01
4.731731258517590105e-02,9.940786507667566108e-01
4.744905464427626868e-02,9.940621061959827864e-01
4.758043193212237176e-02,9.940455619008553567e-01
4.762414382313580330e-02,9.940400471970666230e-01
4.775503942948081809e-02,9.940235032694600958e-01
4.779859164126321058e-02,9.940179886881781446e-01
4.801576014746614107e-02,9.939904162411500321e-01
4.814559105611005557e-02,9.939738731404375027e-01
4.836120136192555152e-02,9.939463019184063830e-01
4.849010736632118623e-02,9.939297595526748186e-01
4.866145085332331671e-02,9.939077034937581212e-01
4.895985907217668964e-02,9.938691065696170224e-01
4.900234047377134000e-02,9.938635928457985047e-01
4.904478507886243094e-02,9.938580791526012703e-01
4.912956428092751099e-02,9.938470518580692081e-01
4.929868529941221211e-02,9.938249976364530447e-01
4.934087497871961214e-02,9.938194841575991312e-01
4.938302861373725788e-02,9.938139707093661679e-01
4.963519863095929019e-02,9.937808906629718164e-01
4.967710251640181790e-02,9.937753774290728481e-01
4.980260262478652944e-02,9.937588379110864345e-01
5.001106961649365995e-02,9.937312726601318369e-01
5.017721961898223559e-02,9.937092210104790935e-01
5.038413663022015682e-02,9.936816571372824036e-01
5.046666588923720553e-02,9.936706318023138529e-01
5.050787994911381390e-02,9.936651191807532868e-01
5.067240097637776969e-02,9.936430690006591293e-01
5.099985085738158175e-02,9.935989701099513516e-01
5.104063438330759539e-02,9.935934578863734323e-01
5.112210382754509702e-02,9.935824335310569078e-01
5.116278990128275694e-02,9.935769213993173032e-01
5.136573686701294966e-02,9.935493611998019725e-01
5.148712106681622297e-02,9.935328254474338205e-01
5.160821976648988230e-02,9.935162899705632933e-01
5.164852290247560346e-02,9.935107782061610715e-01
5.192976902855615112e-02,9.934721967124283681e-01
5.200984572344307527e-02,9.934611737039891199e-01
5.212973012864201283e-02,9.934446394208967801e-01
5.224933946236343801e-02,9.934281054132791944e-01
5.228914843966026710e-02,9.934225941386223280e-01
5.244808219139106276e-02,9.934005493460700276e-01
5.264607465392255603e-02,9.933729940440353401e-01
5.292201968072463014e-02,9.933344179066371238e-01
5.296132303023821930e-02,9.933289071522869440e-01
5.303984235571309463e-02,9.933178857354008073e-01
5.307905846092522695e-02,9.933123750728640733e-01
5.319653331696472254e-02,9.932958432688800965e-01
5.339175035875725478e-02,9.932682908743110106e-01
5.354741156801217511e-02,9.932462495095094601e-01
5.366386116295485814e-02,9.932297188072302108e-01
5.385738429787934739e-02,9.932021682487987002e-01
5.389600553901148505e-02,9.931966582289155632e-01
5.401170356434437103e-02,9.931801283528679525e-01
5.420398481396835472e-02,9.931525791714579388e-01
5.431902685247429891e-02,9.931360500298050953e-01
5.443382575702612747e-02,9.931195211635400755e-01
5.473877913737371786e-02,9.930754455331473052e-01
5.481475239404167560e-02,9.930644269315220818e-01
5.489062049683524763e-02,9.930534084522822935e-01
5.492851525171536103e-02,9.930478992585566322e-01
5.507983355569640027e-02,9.930258627896139112e-01
5.511759822121722191e-02,9.930203537488677679e-01
5.523073728494683893e-02,9.930038268101978316e-01
5.541878910921983065e-02,9.929762825243072522e-01
5.549383140800686481e-02,9.929652650241094225e-01
5.568099468478853592e-02,9.929377218089976420e-01
5.571835189585262055e-02,9.929322132577542703e-01
5.601631270129416723e-02,9.928881459491200046e-01
5.612764020417070759e-02,9.928716212131404317e-01
5.627573428802667976e-02,9.928495886601031994e-01
5.642343966982718562e-02,9.928275565965040128e-01
5.657075939425759703e-02,9.928055250223332129e-01
5.668099790917931202e-02,9.927890016628859726e-01
5.671769646646138141e-02,9.927834939375801415e-01
5.682764994095552274e-02,9.927669709451878433e-01
5.690083421738068026e-02,9.927559557698636405e-01
5.711982444585664287e-02,9.927229109779759364e-01
5.715624124292524588e-02,9.927174036197139451e-01
5.726535268212179508e-02,9.927008817284399544e-01
5.744674454492221249e-02,9.926733458546899147e-01
5.748295422960692652e-02,9.926678387716942886e-01
5.759144668551093027e-02,9.926513177062119553e-01
5.769973514286319549e-02,9.926347969159839968e-01
5.773578616075868836e-02,9.926292900470751190e-01
5.777181468181125795e-02,9.926237832087489998e-01
5.798751572083375716e-02,9.925907428210289929e-01
5.802338793446473048e-02,9.925852361967795190e-01
5.805923798412469111e-02,9.925797296031128036e-01
5.834524537583278547e-02,9.925356779547003239e-01
5.841652842712675292e-02,9.925246653484025572e-01
5.845213735364586383e-02,9.925191590911242034e-01
5.873623159945724759e-02,9.924751101337505599e-01
5.884241331924983803e-02,9.924585922792842352e-01
5.887776467205880354e-02,9.924530863889499122e-01
5.915981501471899440e-02,9.924090403670687843e-01
5.919497681374852327e-02,9.924035347519278849e-01
5.930033711624200371e-02,9.923870180899651006e-01
5.940551055313993134e-02,9.923705017031823061e-01
5.947552285313714715e-02,9.923594909315370804e-01
5.958038704472490982e-02,9.923429750033797569e-01
5.971991953422507715e-02,9.923209541938743383e-01
5.999801101682814691e-02,9.922769140423891576e-01
6.003268187417037938e-02,9.922714091610297382e-01
6.024028797123315293e-02,9.922383805148856650e-01
6.027481946698613757e-02,9.922328758475278399e-01
6.041274806946294457e-02,9.922108574838034434e-01
6.055036248100695989e-02,9.921888396092040097e-01
