q,I
2.884988915472701341e-03,9.973155661350859846e-01
4.079990443907558634e-03,9.973043906694015748e-01
4.561567985786952814e-03,9.972988029784990438e-01
5.769977798489278956e-03,9.972820400728147350e-01
6.340682733023049640e-03,9.972727274590237334e-01
7.355307312395488115e-03,9.972541024545034105e-01
8.327404047578651144e-03,9.972336153138451342e-01
8.654966616593607817e-03,9.972261655332039787e-01
9.123135843279811530e-03,9.972149909599089534e-01
1.028077563730918007e-02,9.971848201724033967e-01
1.098571021851045895e-02,9.971647067601573378e-01
1.177672755936098187e-02,9.971404966670635028e-01
1.235252773096813528e-02,9.971218738559279871e-01
1.290206219902475908e-02,9.971032513607840375e-01
1.306234239683946516e-02,9.970976646735959514e-01
1.368470344418450113e-02,9.970753182035675399e-01
1.438869943399089663e-02,9.970487823524040172e-01
1.478100139706462965e-02,9.970334197780763574e-01
1.573450556531614045e-02,9.969943160204310928e-01
1.642156524682892443e-02,9.969647097480993647e-01
1.682223054240777546e-02,9.969468346573843176e-01
1.738979457850241619e-02,9.969207673348249310e-01
1.754870129082577307e-02,9.969133196359073468e-01
1.828416566421292230e-02,9.968779437605960192e-01
1.869619716347182756e-02,9.968574635247221538e-01
1.929918364557544480e-02,9.968267438120372859e-01
2.026300232544161681e-02,9.967755462281279177e-01
2.065282266116508919e-02,9.967541370193915284e-01
2.115060379178675121e-02,9.967262125734768219e-01
2.168544445066949641e-02,9.966954964564107566e-01
2.210292436831679322e-02,9.966709242428241078e-01
2.271605197775588073e-02,9.966340668421719284e-01
2.322359887659984634e-02,9.966027948462805597e-01
2.383387699042760488e-02,9.965642644996708377e-01
2.467960512845729718e-02,9.965091872364726377e-01
2.523334380282999875e-02,9.964721321037562918e-01
2.568259234782661535e-02,9.964414230235576486e-01
2.607141996895815869e-02,9.964144369054691586e-01
2.662408956956965889e-02,9.963753547621456708e-01
2.729316496419956911e-02,9.963269691982394871e-01
2.764639483396762187e-02,9.963009163446804317e-01
2.837717740595595978e-02,9.962460211256745080e-01
