q,I
0,1
0.0050505,0.99992
0.010101,0.9998
0.015152,0.99963
0.020202,0.99939
0.025253,0.99908
0.030303,0.99871
0.035354,0.99827
0.040404,0.99776
0.045455,0.99718
0.050505,0.99654
0.055556,0.99583
0.060606,0.99505
0.065657,0.9942
0.070707,0.99329
0.075758,0.99231
0.080808,0.99127
0.085859,0.99016
0.090909,0.98898
0.09596,0.98773
0.10101,0.98643
0.10606,0.98505
0.11111,0.98361
0.11616,0.98211
0.12121,0.98054
0.12626,0.97891
0.13131,0.97721
0.13636,0.97545
0.14141,0.97363
0.14646,0.97174
0.15152,0.9698
0.15657,0.96779
0.16162,0.96571
0.16667,0.96358
0.17172,0.96139
0.17677,0.95914
0.18182,0.95682
0.18687,0.95445
0.19192,0.95202
0.19697,0.94953
0.20202,0.94698
0.20707,0.94438
0.21212,0.94172
0.21717,0.939
0.22222,0.93622
0.22727,0.93339
0.23232,0.93051
0.23737,0.92757
0.24242,0.92458
0.24747,0.92154
0.25253,0.91844
0.25758,0.91529
0.26263,0.91209
0.26768,0.90884
0.27273,0.90554
0.27778,0.90219
0.28283,0.89879
0.28788,0.89534
0.29293,0.89185
0.29798,0.88831
0.30303,0.88472
0.30808,0.88109
0.31313,0.87741
0.31818,0.87369
0.32323,0.86992
0.32828,0.86611
0.33333,0.86226
0.33838,0.85837
0.34343,0.85444
0.34848,0.85047
0.35354,0.84646
0.35859,0.84241
0.36364,0.83832
0.36869,0.8342
0.37374,0.83004
0.37879,0.82585
0.38384,0.82162
0.38889,0.81735
0.39394,0.81306
0.39899,0.80873
0.40404,0.80437
0.40909,0.79997
0.41414,0.79555
0.41919,0.7911
0.42424,0.78662
0.42929,0.78211
0.43434,0.77758
0.43939,0.77302
0.44444,0.76843
0.44949,0.76382
0.45455,0.75918
0.4596,0.75453
0.46465,0.74984
0.4697,0.74514
0.47475,0.74042
0.4798,0.73568
0.48485,0.73091
0.4899,0.72613
0.49495,0.72134
0.5,0.71653
