q,I
0.020202,6.5185e-05
0.025253,6.5179e-05
0.030303,6.5132e-05
0.035354,6.5075e-05
0.040404,6.5008e-05
0.045455,6.4932e-05
0.050505,6.4848e-05
0.055556,6.4755e-05
0.060606,6.4653e-05
0.065657,6.4542e-05
0.070707,6.4422e-05
0.075758,6.4293e-05
0.080808,6.4155e-05
0.085859,6.4009e-05
0.090909,6.3853e-05
0.09596,6.3689e-05
0.10101,6.3516e-05
0.10606,6.3334e-05
0.11111,6.3143e-05
0.11616,6.2943e-05
0.12121,6.2734e-05
0.12626,6.2517e-05
0.13131,6.229e-05
0.13636,6.2055e-05
0.14141,6.1811e-05
0.14646,6.1557e-05
0.15152,6.1295e-05
0.15657,6.1024e-05
0.16162,6.0745e-05
0.16667,6.0456e-05
0.17172,6.0159e-05
0.17677,5.9852e-05
0.18182,5.9537e-05
0.18687,5.9213e-05
0.19192,5.888e-05
0.19697,5.8538e-05
0.20202,5.8187e-05
0.20707,5.7827e-05
0.21212,5.7458e-05
0.21717,5.7081e-05
0.22222,5.6695e-05
0.22727,5.6299e-05
0.23232,5.5895e-05
0.23737,5.5482e-05
0.24242,5.506e-05
0.24747,5.463e-05
0.25253,5.419e-05
0.25758,5.3741e-05
0.26263,5.3284e-05
0.26768,5.2818e-05
0.27273,5.2343e-05
0.27778,5.1858e-05
0.28283,5.1366e-05
0.28788,5.0864e-05
0.29293,5.0353e-05
0.29798,4.9833e-05
0.30303,4.9305e-05
0.30808,4.8768e-05
0.31313,4.8221e-05
0.31818,4.7666e-05
0.32323,4.7102e-05
0.32828,4.6529e-05
0.33333,4.5948e-05
0.33838,4.5357e-05
0.34343,4.4757e-05
0.34848,4.4149e-05
0.35354,4.3532e-05
0.35859,4.2906e-05
0.36364,4.2271e-05
0.36869,4.1627e-05
0.37374,4.0974e-05
0.37879,4.0312e-05
0.38384,3.9642e-05
0.38889,3.8962e-05
0.39394,3.8274e-05
0.39899,3.7577e-05
0.40404,3.687e-05
0.40909,3.6155e-05
0.41414,3.5432e-05
0.41919,3.4699e-05
0.42424,3.3957e-05
0.42929,3.3207e-05
0.43434,3.2447e-05
0.43939,3.1679e-05
0.44444,3.0902e-05
0.44949,3.0116e-05
0.45455,2.9321e-05
0.4596,2.8517e-05
0.46465,2.7704e-05
0.4697,2.6883e-05
0.47475,2.6052e-05
0.4798,2.5201e-05
0.48485,2.4223e-05
0.4899,2.2395e-05
0.49495,1.6791e-05
0.5,-3.3307e-16
