q,I
2.039995199999999811e-03,9.971825455265298510e-01
2.884988900000000096e-03,9.971769997223669524e-01
4.079990399999999622e-03,9.971659082075287062e-01
4.561568000000000220e-03,9.971603624968536916e-01
5.769977800000000191e-03,9.971437255517994203e-01
6.119985599999999866e-03,9.971381799657712541e-01
6.451031299999999968e-03,9.971326344109053830e-01
7.355307299999999833e-03,9.971159979332728795e-01
8.159980799999999243e-03,9.970993617360875971e-01
8.411115699999999196e-03,9.970938163993466885e-01
8.654966599999999385e-03,9.970882710937650772e-01
9.123135799999999504e-03,9.970771805760814122e-01
1.019997589999999989e-02,9.970494548271631174e-01
1.040197520000000000e-02,9.970439097708558851e-01
1.098571020000000016e-02,9.970272747888841991e-01
1.153995529999999985e-02,9.970106400873330887e-01
1.189511369999999950e-02,9.969995504420884336e-01
1.223997100000000053e-02,9.969884609214703097e-01
1.240880609999999926e-02,9.969829162078956974e-01
1.290206219999999980e-02,9.969662822541121017e-01
1.306234239999999949e-02,9.969607376651626884e-01
1.368470339999999959e-02,9.969385596209215938e-01
1.427996599999999984e-02,9.969163820751657523e-01
1.442494390000000071e-02,9.969108377666100473e-01
1.471061409999999993e-02,9.968997492429670926e-01
1.485138870000000076e-02,9.968942050278756239e-01
1.553614000000000037e-02,9.968664844197222541e-01
1.593287120000000043e-02,9.968498524286638629e-01
1.631996089999999955e-02,9.968332207179780857e-01
1.644696630000000090e-02,9.968276768767159179e-01
1.682223050000000025e-02,9.968110455398486724e-01
1.730993239999999850e-02,9.967888708601401193e-01
1.742972569999999902e-02,9.967833272680882706e-01
1.754870130000000042e-02,9.967777837071861713e-01
1.824627070000000087e-02,9.967445229959231989e-01
1.835995569999999966e-02,9.967389796530693458e-01
1.847294110000000100e-02,9.967334363413624665e-01
1.880782519999999944e-02,9.967168065931312215e-01
1.924527490000000132e-02,9.966946340315636643e-01
1.935309240000000069e-02,9.966890909690422351e-01
2.009162109999999835e-02,9.966502904034890697e-01
2.019492059999999922e-02,9.966447475901374364e-01
2.039995039999999843e-02,9.966336620568738702e-01
2.050169640000000168e-02,9.966281193369612712e-01
2.080394890000000080e-02,9.966114913640859996e-01
2.100303430000000082e-02,9.966004062045611400e-01
2.129817330000000064e-02,9.965837786988567260e-01
2.168544450000000137e-02,9.965616091272605503e-01
2.197141860000000058e-02,9.965449822755652054e-01
2.206591980000000008e-02,9.965394400539531183e-01
2.243994499999999934e-02,9.965172714789284347e-01
2.253248119999999924e-02,9.965117294130245718e-01
2.280783739999999934e-02,9.964951034021649612e-01
2.307990860000000075e-02,9.964784776715689407e-01
2.325952140000000015e-02,9.964673940068773383e-01
2.379022509999999951e-02,9.964341437601595963e-01
2.387752890000000017e-02,9.964286021613606437e-01
2.447993949999999891e-02,9.963898118416498750e-01
2.456479220000000116e-02,9.963842704919527726e-01
2.464935279999999965e-02,9.963787291733956497e-01
2.481760959999999849e-02,9.963676466296949030e-01
2.490131170000000130e-02,9.963621054045442849e-01
2.523334379999999863e-02,9.963399408153368331e-01
2.556106320000000112e-02,9.963177767242945571e-01
2.580412149999999905e-02,9.963011539829397245e-01
2.596489630000000173e-02,9.962900723110348356e-01
2.612468180000000056e-02,9.962789907636777631e-01
2.651993379999999928e-02,9.962512874401252549e-01
2.659827940000000085e-02,9.962457468688135087e-01
2.683194360000000153e-02,9.962291253416771797e-01
2.721692649999999866e-02,9.962014234190966766e-01
2.736940339999999888e-02,9.961903428679809158e-01
2.744532419999999931e-02,9.961848026391193489e-01
2.774693010000000085e-02,9.961626420349982691e-01
2.834051430000000121e-02,9.961183223209933990e-01
2.841384049999999897e-02,9.961127824968319944e-01
2.855992799999999832e-02,9.961017029418872681e-01
2.863269220000000045e-02,9.960961632111020592e-01
2.884988380000000005e-02,9.960795442055183635e-01
2.899377430000000047e-02,9.960684650240951843e-01
2.920828110000000047e-02,9.960518464854405396e-01
2.942122390000000143e-02,9.960352282269077095e-01
2.970277299999999829e-02,9.960130709846477526e-01
3.012016249999999867e-02,9.959798360550061735e-01
3.032670299999999999e-02,9.959632190103661076e-01
3.059992200000000162e-02,9.959410633865914964e-01
3.066784640000000048e-02,9.959355245584643468e-01
3.087072290000000135e-02,9.959189082607921017e-01
3.107227489999999856e-02,9.959022922432207992e-01
3.113916889999999993e-02,9.958967536329338399e-01
3.120591959999999970e-02,9.958912150537899688e-01
3.166923519999999964e-02,9.958524458710942273e-01
3.173487090000000344e-02,9.958469075408887816e-01
3.186573689999999681e-02,9.958358309738776226e-01
3.193096869999999948e-02,9.958302927370535906e-01
3.225514909999999819e-02,9.958026020197069395e-01
3.263991580000000226e-02,9.957693741858263392e-01
3.270360349999999749e-02,9.957638363224257105e-01
3.289392669999999935e-02,9.957472229189174850e-01
3.295712349999999763e-02,9.957416851799825164e-01
3.320870809999999784e-02,9.957195345354147298e-01
3.345840099999999873e-02,9.956973843886997022e-01
3.364445469999999966e-02,9.956807721054057314e-01
3.376792089999999802e-02,9.956696974054264349e-01
3.395227840000000080e-02,9.956530855888248155e-01
3.419654240000000178e-02,9.956309369356410865e-01
3.461985769999999935e-02,9.955921779903924573e-01
3.467990950000000155e-02,9.955866411226799162e-01
3.473985749999999872e-02,9.955811042860654991e-01
3.485944419999999905e-02,9.955700307061727816e-01
3.491908400000000301e-02,9.955644939629049173e-01
3.509739530000000052e-02,9.955478839197121621e-01
3.521576790000000012e-02,9.955368107131733479e-01
3.562697489999999689e-02,9.954980554701740036e-01
3.568533189999999883e-02,9.954925191313123145e-01
3.609118929999999975e-02,9.954537656304207616e-01
3.614879690000000201e-02,9.954482295404596393e-01
3.632107169999999885e-02,9.954316214571480304e-01
3.649253310000000194e-02,9.954150136538216787e-01
3.671990299999999818e-02,9.953928703515585452e-01
3.677652580000000115e-02,9.953873346037361847e-01
3.694587359999999820e-02,9.953707275469617644e-01
3.722640800000000250e-02,9.953430497410806765e-01
3.744932249999999990e-02,9.953209080562335220e-01
3.750484409999999685e-02,9.953153727127885819e-01
3.761564139999999667e-02,9.953043021192029549e-01
3.794609239999999911e-02,9.952710910848993064e-01
3.811024350000000172e-02,9.952544859876616412e-01
3.832801789999999709e-02,9.952323462933746478e-01
3.849054019999999937e-02,9.952157418492232344e-01
3.870617500000000238e-02,9.951936030257799715e-01
3.875989619999999775e-02,9.951880683976745967e-01
3.881354310000000030e-02,9.951825338006573540e-01
3.897404079999999826e-02,9.951659301961829351e-01
3.918701509999999999e-02,9.951437924922652556e-01
3.924007809999999902e-02,9.951382581440622044e-01
3.939883820000000120e-02,9.951216552859557529e-01
3.960952859999999909e-02,9.950995185771810414e-01
4.007953250000000078e-02,9.950497128015682868e-01
