q,I
2.039995199999999811e-03,9.973208037258579628e-01
2.884988900000000096e-03,9.973148657842044740e-01
4.079990399999999622e-03,9.973029900348282517e-01
4.561568000000000220e-03,9.972970522271055183e-01
5.769977800000000191e-03,9.972792390717899469e-01
6.119985599999999866e-03,9.972733014426345965e-01
6.451031299999999968e-03,9.972673638581206479e-01
7.355307299999999833e-03,9.972495513724209948e-01
8.159980799999999243e-03,9.972317392884761933e-01
8.411115699999999196e-03,9.972258020164387338e-01
8.654966599999999385e-03,9.972198647890386791e-01
9.123135799999999504e-03,9.972079904681497853e-01
1.019997589999999989e-02,9.971783054470649832e-01
1.040197520000000000e-02,9.971723685767535095e-01
1.098571020000000016e-02,9.971545582336243108e-01
1.153995529999999985e-02,9.971367482921912329e-01
1.189511369999999950e-02,9.971248752210651878e-01
1.223997100000000053e-02,9.971130023284620059e-01
1.240880609999999926e-02,9.971070659491050314e-01
1.290206219999999980e-02,9.970892570788159048e-01
1.306234239999999949e-02,9.970833208779772416e-01
1.368470339999999959e-02,9.970595765209010475e-01
1.427996599999999984e-02,9.970358328778563539e-01
1.442494390000000071e-02,9.970298970786565240e-01
1.471061409999999993e-02,9.970180256141367714e-01
1.485138870000000076e-02,9.970120899488114086e-01
1.553614000000000037e-02,9.969824122915350584e-01
1.593287120000000043e-02,9.969646062326310565e-01
1.631996089999999955e-02,9.969468005753111539e-01
1.644696630000000090e-02,9.969408654454403607e-01
1.682223050000000025e-02,9.969230603235489374e-01
1.730993239999999850e-02,9.968993207856740035e-01
1.742972569999999902e-02,9.968933860127443536e-01
1.754870130000000042e-02,9.968874512844313474e-01
1.824627070000000087e-02,9.968518438514628599e-01
1.835995569999999966e-02,9.968459094354484851e-01
1.847294110000000100e-02,9.968399750640466461e-01
1.880782519999999944e-02,9.968221722175111266e-01
1.924527490000000132e-02,9.967984357133496953e-01
1.935309240000000069e-02,9.967925016988339326e-01
2.009162109999999835e-02,9.967509648462471450e-01
2.019492059999999922e-02,9.967450311885921455e-01
2.039995039999999843e-02,9.967331640070972165e-01
2.050169640000000168e-02,9.967272304832569541e-01
2.080394890000000080e-02,9.967094301793607558e-01
2.100303430000000082e-02,9.966975635331173367e-01
