q,I
2.039995199999999811e-03,9.760390441824281504e-01
2.884988900000000096e-03,9.760321683521577807e-01
4.079990399999999622e-03,9.760184169337554616e-01
4.561568000000000220e-03,9.760115413456216249e-01
5.769977800000000191e-03,9.759909150654707544e-01
6.119985599999999866e-03,9.759840398001666806e-01
6.451031299999999968e-03,9.759771646155679381e-01
7.355307299999999833e-03,9.759565395459846027e-01
8.159980799999999243e-03,9.759359152026969575e-01
8.411115699999999196e-03,9.759290405829947890e-01
8.654966599999999385e-03,9.759221660439860724e-01
9.123135799999999504e-03,9.759084172080471076e-01
1.019997589999999989e-02,9.758740465302684353e-01
1.040197520000000000e-02,9.758671726367708077e-01
1.098571020000000016e-02,9.758465514403732444e-01
1.153995529999999985e-02,9.758259309700900719e-01
1.189511369999999950e-02,9.758121843932843209e-01
1.223997100000000053e-02,9.757984381391693329e-01
1.240880609999999926e-02,9.757915651331179330e-01
1.290206219999999980e-02,9.757709465989782283e-01
1.306234239999999949e-02,9.757640739155977183e-01
1.368470339999999959e-02,9.757365839887078840e-01
1.427996599999999984e-02,9.757090953523721577e-01
1.442494390000000071e-02,9.757022233949254053e-01
1.471061409999999993e-02,9.756884797219949057e-01
1.485138870000000076e-02,9.756816080065051633e-01
1.553614000000000037e-02,9.756472506387771082e-01
1.593287120000000043e-02,9.756266371858680619e-01
1.631996089999999955e-02,9.756060244587149155e-01
1.644696630000000090e-02,9.755991537109337530e-01
1.682223050000000025e-02,9.755785419514011458e-01
1.730993239999999850e-02,9.755510607341844054e-01
1.742972569999999902e-02,9.755441906314458178e-01
1.754870130000000042e-02,9.755373206093325145e-01
1.824627070000000087e-02,9.754961021696983980e-01
1.835995569999999966e-02,9.754892327119214501e-01
1.847294110000000100e-02,9.754823633347585732e-01
1.880782519999999944e-02,9.754617556869447093e-01
1.924527490000000132e-02,9.754342799517208284e-01
1.935309240000000069e-02,9.754274112194295521e-01
2.009162109999999835e-02,9.753793323502063517e-01
2.019492059999999922e-02,9.753724642627061847e-01
2.039995039999999843e-02,9.753587283294828936e-01
2.050169640000000168e-02,9.753518604837577710e-01
2.080394890000000080e-02,9.753312574301120641e-01
2.100303430000000082e-02,9.753175224639490937e-01
2.129817330000000064e-02,9.752969206190721385e-01
2.168544450000000137e-02,9.752694526206792114e-01
2.197141860000000058e-02,9.752488524679152615e-01
2.206591980000000008e-02,9.752419859114742628e-01
2.243994499999999934e-02,9.752145204913826859e-01
2.253248119999999924e-02,9.752076543377729001e-01
2.280783739999999934e-02,9.751870563603231012e-01
2.307990860000000075e-02,9.751664591079058919e-01
2.325952140000000015e-02,9.751527280090740435e-01
2.379022509999999951e-02,9.751115366458256162e-01
2.387752890000000017e-02,9.751046717005326103e-01
2.447993949999999891e-02,9.750566193386743796e-01
2.456479220000000116e-02,9.750497550377037470e-01
2.464935279999999965e-02,9.750428908172679154e-01
2.481760959999999849e-02,9.750291626179919957e-01
2.490131170000000130e-02,9.750222986391521296e-01
2.523334379999999863e-02,9.749948435290795024e-01
2.556106320000000112e-02,9.749673897073974915e-01
2.580412149999999905e-02,9.749468001865951861e-01
2.596489630000000173e-02,9.749330742419731743e-01
2.612468180000000056e-02,9.749193486194087654e-01
2.651993379999999928e-02,9.748850359719083425e-01
2.659827940000000085e-02,9.748781736839270406e-01
2.683194360000000153e-02,9.748575873029952099e-01
2.721692649999999866e-02,9.748232782780900108e-01
2.736940339999999888e-02,9.748095552315881873e-01
2.744532419999999931e-02,9.748026938290750287e-01
2.774693010000000085e-02,9.747752490239034451e-01
2.834051430000000121e-02,9.747203632767447168e-01
2.841384049999999897e-02,9.747135029205019618e-01
2.855992799999999832e-02,9.746997824494298968e-01
2.863269220000000045e-02,9.746929223345980331e-01
2.884988380000000005e-02,9.746723424729224483e-01
2.899377430000000047e-02,9.746586229674685242e-01
2.920828110000000047e-02,9.746380443127666826e-01
2.942122390000000143e-02,9.746174663821972617e-01
2.970277299999999829e-02,9.745900302678155436e-01
3.012016249999999867e-02,9.745488785097484730e-01
3.032670299999999999e-02,9.745283037167133955e-01
3.059992200000000162e-02,9.745008717854920510e-01
3.066784640000000048e-02,9.744940140037756660e-01
3.087072290000000135e-02,9.744734411412220298e-01
3.107227489999999856e-02,9.744528690025411333e-01
3.113916889999999993e-02,9.744460117838295021e-01
3.120591959999999970e-02,9.744391546455478670e-01
3.166923519999999964e-02,9.743911569293581820e-01
3.173487090000000344e-02,9.743843004344244774e-01
3.186573689999999681e-02,9.743705876858077541e-01
3.193096869999999948e-02,9.743637314321121901e-01
3.225514909999999819e-02,9.743294513697685622e-01
3.263991580000000226e-02,9.742883179482635381e-01
3.270360349999999749e-02,9.742814626594080707e-01
3.289392669999999935e-02,9.742608972752020424e-01
3.295712349999999763e-02,9.742540423079163459e-01
3.320870809999999784e-02,9.742266232426599615e-01
3.345840099999999873e-02,9.741992054635620901e-01
3.364445469999999966e-02,9.741786429732381958e-01
3.376792089999999802e-02,9.741649350482328718e-01
3.395227840000000080e-02,9.741443737635261391e-01
3.419654240000000178e-02,9.741169598424259668e-01
3.461985769999999935e-02,9.740689885745070775e-01
3.467990950000000155e-02,9.740621358576672106e-01
3.473985749999999872e-02,9.740552832211836209e-01
3.485944419999999905e-02,9.740415781892738378e-01
3.491908400000000301e-02,9.740347257938480885e-01
3.509739530000000052e-02,9.740141690896643167e-01
3.521576790000000012e-02,9.740004650219410420e-01
3.562697489999999689e-02,9.739525033156759548e-01
3.568533189999999883e-02,9.739456519646995103e-01
3.609118929999999975e-02,9.738976947571658105e-01
3.614879690000000201e-02,9.738908440488255325e-01
3.632107169999999885e-02,9.738702924057562882e-01
3.649253310000000194e-02,9.738497414855602496e-01
3.671990299999999818e-02,9.738223413830632280e-01
3.677652580000000115e-02,9.738154915582188931e-01
3.694587359999999820e-02,9.737949425655461066e-01
3.722640800000000250e-02,9.737606958505374832e-01
3.744932249999999990e-02,9.737332999239453057e-01
3.750484409999999685e-02,9.737264511430384628e-01
3.761564139999999667e-02,9.737127538221014289e-01
3.794609239999999911e-02,9.736716637862580237e-01
3.811024350000000172e-02,9.736511198521934363e-01
