q,I
2.039995199999999811e-03,9.760321653488094329e-01
2.884988900000000096e-03,9.760252896800249989e-01
4.079990399999999622e-03,9.760115385845834490e-01
4.561568000000000220e-03,9.760046631579244458e-01
5.769977800000000191e-03,9.759840373621752052e-01
6.119985599999999866e-03,9.759771622583309769e-01
6.451031299999999968e-03,9.759702872351883052e-01
7.355307299999999833e-03,9.759496626499500893e-01
8.159980799999999243e-03,9.759290387909742570e-01
8.411115699999999196e-03,9.759221643327015139e-01
8.654966599999999385e-03,9.759152899551186700e-01
9.123135799999999504e-03,9.759015414420205703e-01
1.019997589999999989e-02,9.758671715712777806e-01
1.040197520000000000e-02,9.758602978391761607e-01
1.098571020000000016e-02,9.758396771269437497e-01
1.153995529999999985e-02,9.758190571407919789e-01
1.189511369999999950e-02,9.758053108867216219e-01
1.223997100000000053e-02,9.757915649553271509e-01
1.240880609999999926e-02,9.757846921106306803e-01
1.290206219999999980e-02,9.757640740605321161e-01
1.306234239999999949e-02,9.757572015384913255e-01
1.368470339999999959e-02,9.757297122569222880e-01
1.427996599999999984e-02,9.757022242658477396e-01
1.442494390000000071e-02,9.756953524697067337e-01
1.471061409999999993e-02,9.756816091193766249e-01
1.485138870000000076e-02,9.756747375651814158e-01
1.553614000000000037e-02,9.756403810038702940e-01
1.593287120000000043e-02,9.756197680347663548e-01
1.631996089999999955e-02,9.755991557913841206e-01
1.644696630000000090e-02,9.755922852048526384e-01
1.682223050000000025e-02,9.755716739290464234e-01
1.730993239999999850e-02,9.755441933567452484e-01
1.742972569999999902e-02,9.755373234152263651e-01
1.754870130000000042e-02,9.755304535543287692e-01
1.824627070000000087e-02,9.754892360819112929e-01
1.835995569999999966e-02,9.754823667853238511e-01
1.847294110000000100e-02,9.754754975693471497e-01
1.880782519999999944e-02,9.754548904050678315e-01
1.924527490000000132e-02,9.754274153145051640e-01
1.935309240000000069e-02,9.754205467433698651e-01
2.009162109999999835e-02,9.753724690021328136e-01
2.019492059999999922e-02,9.753656010757585371e-01
2.039995039999999843e-02,9.753518654647758135e-01
2.050169640000000168e-02,9.753449977801652571e-01
2.080394890000000080e-02,9.753243952098410441e-01
2.100303430000000082e-02,9.753106605658735662e-01
2.129817330000000064e-02,9.752900592042620387e-01
2.168544450000000137e-02,9.752625918501699465e-01
2.197141860000000058e-02,9.752419921805931535e-01
2.206591980000000008e-02,9.752351257852065469e-01
2.243994499999999934e-02,9.752076610092967890e-01
2.253248119999999924e-02,9.752007950167227435e-01
2.280783739999999934e-02,9.751801975223586272e-01
2.307990860000000075e-02,9.751596007529930166e-01
2.325952140000000015e-02,9.751458699761771376e-01
2.379022509999999951e-02,9.751046795788862465e-01
2.387752890000000017e-02,9.750978147945731367e-01
2.447993949999999891e-02,9.750497635594688184e-01
2.456479220000000116e-02,9.750428994194483279e-01
2.464935279999999965e-02,9.750360353599583085e-01
2.481760959999999849e-02,9.750223074825637992e-01
2.490131170000000130e-02,9.750154436646587541e-01
2.523334379999999863e-02,9.749879891982884406e-01
2.556106320000000112e-02,9.749605360202485693e-01
2.580412149999999905e-02,9.749399469821391495e-01
2.596489630000000173e-02,9.749262213592930770e-01
2.612468180000000056e-02,9.749124960584901745e-01
2.651993379999999928e-02,9.748781842153279031e-01
2.659827940000000085e-02,9.748713220882029296e-01
2.683194360000000153e-02,9.748507361898181012e-01
2.721692649999999866e-02,9.748164279690819667e-01
2.736940339999999888e-02,9.748027052442217455e-01
2.744532419999999931e-02,9.747958440025237259e-01
2.774693010000000085e-02,9.747683998405759498e-01
2.834051430000000121e-02,9.747135153796846474e-01
2.841384049999999897e-02,9.747066551842087367e-01
2.855992799999999832e-02,9.746929350346587029e-01
2.863269220000000045e-02,9.746860750805822482e-01
2.884988380000000005e-02,9.746654957011504639e-01
2.899377430000000047e-02,9.746517765171733849e-01
2.920828110000000047e-02,9.746311983446598326e-01
2.942122390000000143e-02,9.746106208962441730e-01
2.970277299999999829e-02,9.745831854246825854e-01
3.012016249999999867e-02,9.745420346307328563e-01
3.032670299999999999e-02,9.745214603197061010e-01
3.059992200000000162e-02,9.744940290311104869e-01
3.066784640000000048e-02,9.744871714100412641e-01
3.087072290000000135e-02,9.744665990294066882e-01
3.107227489999999856e-02,9.744460273726107680e-01
3.113916889999999993e-02,9.744391703145196537e-01
3.120591959999999970e-02,9.744323133368556489e-01
3.166923519999999964e-02,9.743843167448816844e-01
3.173487090000000344e-02,9.743774604105348569e-01
3.186573689999999681e-02,9.743637479830815629e-01
3.193096869999999948e-02,9.743568918899623288e-01
3.225514909999999819e-02,9.743226126304432855e-01
3.263991580000000226e-02,9.742814801722050611e-01
3.270360349999999749e-02,9.742746250438809597e-01
3.289392669999999935e-02,9.742540601412462697e-01
3.295712349999999763e-02,9.742472053344768401e-01
3.320870809999999784e-02,9.742197869112485531e-01
3.345840099999999873e-02,9.741923697741190491e-01
3.364445469999999966e-02,9.741718077652330443e-01
3.376792089999999802e-02,9.741581001611669954e-01
3.395227840000000080e-02,9.741375393578413089e-01
3.419654240000000178e-02,9.741101260785306470e-01
3.461985769999999935e-02,9.740621559335993496e-01
3.467990950000000155e-02,9.740553033771722768e-01
3.473985749999999872e-02,9.740484509010965963e-01
3.485944419999999905e-02,9.740347461899921955e-01
3.491908400000000301e-02,9.740278939549639192e-01
3.509739530000000052e-02,9.740073377319480308e-01
3.521576790000000012e-02,9.739936339849859515e-01
3.562697489999999689e-02,9.739456734012648109e-01
3.568533189999999883e-02,9.739388222106364346e-01
3.609118929999999975e-02,9.738908661254380705e-01
3.614879690000000201e-02,9.738840155774174390e-01
3.632107169999999885e-02,9.738634644152812658e-01
3.649253310000000194e-02,9.738429139759858799e-01
3.671990299999999818e-02,9.738155145146379921e-01
3.677652580000000115e-02,9.738086648500707820e-01
3.694587359999999820e-02,9.737881163382094973e-01
3.722640800000000250e-02,9.737538704244779186e-01
3.744932249999999990e-02,9.737264751388394757e-01
3.750484409999999685e-02,9.737196265181617960e-01
3.761564139999999667e-02,9.737059295176726526e-01
3.794609239999999911e-02,9.736648404430816583e-01
3.811024350000000172e-02,9.736442969895944266e-01
3.832801789999999709e-02,9.736169068421333117e-01
3.849054019999999937e-02,9.735963650744003939e-01
3.870617500000000238e-02,9.735689771744969745e-01
3.875989619999999775e-02,9.735621304001780274e-01
3.881354310000000030e-02,9.735552837061244302e-01
3.897404079999999826e-02,9.735347441055240969e-01
3.918701509999999999e-02,9.735073590949727684e-01
3.924007809999999902e-02,9.735005130429710274e-01
3.939883820000000120e-02,9.734799753684542090e-01
3.960952859999999909e-02,9.734525929258881494e-01
4.007953250000000078e-02,9.733909871241288592e-01
4.018323120000000248e-02,9.733772978285248900e-01
4.023498040000000192e-02,9.733704533010708593e-01
4.038983000000000156e-02,9.733499202000530648e-01
4.049273419999999818e-02,9.733362318671677782e-01
4.064660190000000256e-02,9.733156999694838607e-01
4.079988930000000291e-02,9.732951687937496654e-01
4.085085730000000137e-02,9.732883252289357134e-01
4.100338109999999980e-02,9.732677950157526681e-01
4.105409649999999799e-02,9.732609517717792924e-01
4.125633449999999841e-02,9.732335795979376591e-01
4.130673929999999910e-02,9.732267367549852777e-01
4.160788569999999964e-02,9.731856813814425688e-01
4.185718599999999762e-02,9.731514707754841398e-01
4.200605599999999995e-02,9.731309453741673332e-01
4.205556230000000173e-02,9.731241037341020750e-01
4.244953370000000004e-02,9.730693734999944500e-01
4.259633349999999985e-02,9.730488509850774292e-01
4.283988209999999713e-02,9.730146483969117632e-01
4.288842589999999899e-02,9.730078081197732764e-01
4.303372860000000133e-02,9.729872877693097610e-01
4.322670569999999962e-02,9.729599284242179680e-01
4.327481560000000227e-02,9.729530887883356405e-01
4.337087509999999757e-02,9.729394097570065458e-01
4.361009829999999698e-02,9.729052135812812363e-01
4.365778569999999997e-02,9.728983745865706911e-01
4.380053619999999676e-02,9.728778580832740941e-01
4.394282299999999891e-02,9.728573423012173427e-01
4.403742540000000344e-02,9.728436655138464895e-01
4.413182499999999953e-02,9.728299890469978006e-01
4.455414840000000015e-02,9.727684489124439615e-01
4.474056810000000273e-02,9.727410998246422968e-01
4.478705179999999814e-02,9.727342627529789176e-01
4.487987470000000256e-02,9.727205888499809161e-01
4.492621420000000171e-02,9.727137520186417419e-01
4.506494700000000103e-02,9.726932420052859518e-01
4.515719859999999669e-02,9.726795690635574587e-01
4.529522390000000065e-02,9.726590602517395379e-01
4.561565869999999884e-02,9.726112091608569710e-01
4.584316940000000146e-02,9.725770322129225764e-01
4.602436819999999873e-02,9.725496920960765568e-01
4.615980060000000190e-02,9.725291878492686726e-01
4.624986849999999927e-02,9.725155187517680044e-01
4.651902589999999671e-02,9.724745133809512554e-01
4.656373419999999819e-02,9.724676794327131724e-01
4.660839960000000282e-02,9.724608455645380456e-01
