q,I
2.039995199999999811e-03,3.798272643884981897e-03
2.884988900000000096e-03,3.798186294950162654e-03
4.079990399999999622e-03,3.798013603522971439e-03
4.561568000000000220e-03,3.797927261030488878e-03
5.769977800000000191e-03,3.797668246436773469e-03
6.119985599999999866e-03,3.797581912533255517e-03
6.451031299999999968e-03,3.797495580776839071e-03
7.355307299999999833e-03,3.797236598389593792e-03
8.159980799999999243e-03,3.796977635324151786e-03
8.411115699999999196e-03,3.796891318595803540e-03
8.654966599999999385e-03,3.796805004014087992e-03
9.123135799999999504e-03,3.796632381290335981e-03
1.019997589999999989e-02,3.796200862043055003e-03
1.040197520000000000e-02,3.796114564632350162e-03
1.098571020000000016e-02,3.795855685276710266e-03
1.153995529999999985e-02,3.795596825234558245e-03
1.189511369999999950e-02,3.795424262602078470e-03
1.223997100000000053e-02,3.795251708552212482e-03
1.240880609999999926e-02,3.795165434745614592e-03
1.290206219999999980e-02,3.794906626198491298e-03
1.306234239999999949e-02,3.794820360973477635e-03
1.368470339999999959e-02,3.794475321525350893e-03
1.427996599999999984e-02,3.794130316397562822e-03
1.442494390000000071e-02,3.794044070477724673e-03
1.471061409999999993e-02,3.793871585072204969e-03
1.485138870000000076e-02,3.793785345586394176e-03
1.553614000000000037e-02,3.793354180324586510e-03
1.593287120000000043e-02,3.793095506899206871e-03
1.631996089999999955e-02,3.792836852770707298e-03
1.644696630000000090e-02,3.792750639015788749e-03
1.682223050000000025e-02,3.792492010614037599e-03
1.730993239999999850e-02,3.792147202756493505e-03
1.742972569999999902e-02,3.792061006150902920e-03
1.754870130000000042e-02,3.791974811688722351e-03
1.824627070000000087e-02,3.791457689923939407e-03
1.835995569999999966e-02,3.791371510463986162e-03
1.847294110000000100e-02,3.791285333146977594e-03
1.880782519999999944e-02,3.791026814053040112e-03
1.924527490000000132e-02,3.790682151925529528e-03
1.935309240000000069e-02,3.790595991750006239e-03
2.009162109999999835e-02,3.789992930506042718e-03
2.019492059999999922e-02,3.789906787468318855e-03
2.039995039999999843e-02,3.789734507818703652e-03
2.050169640000000168e-02,3.789648371206699989e-03
2.080394890000000080e-02,3.789389974221206089e-03
2.100303430000000082e-02,3.789217720272419505e-03
2.129817330000000064e-02,3.788959355410367966e-03
2.168544450000000137e-02,3.788614898906019542e-03
2.197141860000000058e-02,3.788356579009508843e-03
2.206591980000000008e-02,3.788270476659286526e-03
2.243994499999999934e-02,3.787926088666503013e-03
2.253248119999999924e-02,3.787839997020047995e-03
2.280783739999999934e-02,3.787581734923979246e-03
2.307990860000000075e-02,3.787323492091596196e-03
2.325952140000000015e-02,3.787151340904624727e-03
2.379022509999999951e-02,3.786634938704860898e-03
2.387752890000000017e-02,3.786548879161116560e-03
2.447993949999999891e-02,3.785946522263919714e-03
2.456479220000000116e-02,3.785860479836334561e-03
2.464935279999999965e-02,3.785774439548009098e-03
2.481760959999999849e-02,3.785602365388900017e-03
2.490131170000000130e-02,3.785516331518011014e-03
2.523334379999999863e-02,3.785172217424195677e-03
2.556106320000000112e-02,3.784828137551174941e-03
2.580412149999999905e-02,3.784570100101600741e-03
2.596489630000000173e-02,3.784398085827293638e-03
2.612468180000000056e-02,3.784226080106134742e-03
2.651993379999999928e-02,3.783796103220143665e-03
2.659827940000000085e-02,3.783710114256817574e-03
2.683194360000000153e-02,3.783452160193533000e-03
2.721692649999999866e-02,3.783022279506992238e-03
2.736940339999999888e-02,3.782850342194314045e-03
2.744532419999999931e-02,3.782764376743879241e-03
2.774693010000000085e-02,3.782420536313464005e-03
2.834051430000000121e-02,3.781732958023091735e-03
2.841384049999999897e-02,3.781647020351666926e-03
2.855992799999999832e-02,3.781475151418070210e-03
2.863269220000000045e-02,3.781389220155783812e-03
2.884988380000000005e-02,3.781131439186351858e-03
2.899377430000000047e-02,3.780959595887316456e-03
2.920828110000000047e-02,3.780701846958530246e-03
2.942122390000000143e-02,3.780444117252034896e-03
2.970277299999999829e-02,3.780100507542068482e-03
3.012016249999999867e-02,3.779585157038292328e-03
3.032670299999999999e-02,3.779327510610548928e-03
3.059992200000000162e-02,3.778984011928505481e-03
3.066784640000000048e-02,3.778898142594793331e-03
3.087072290000000135e-02,3.778640547401072164e-03
3.107227489999999856e-02,3.778382971417280651e-03
3.113916889999999993e-02,3.778297117024599118e-03
3.120591959999999970e-02,3.778211264766143107e-03
3.166923519999999964e-02,3.777610358709851575e-03
3.173487090000000344e-02,3.777524523522952406e-03
3.186573689999999681e-02,3.777352859550206065e-03
3.193096869999999948e-02,3.777267030764205370e-03
3.225514909999999819e-02,3.776837918835856261e-03
3.263991580000000226e-02,3.776323054917812751e-03
3.270360349999999749e-02,3.776237251730246887e-03
3.289392669999999935e-02,3.775979854964282584e-03
3.295712349999999763e-02,3.775894060307679115e-03
3.320870809999999784e-02,3.775550903006693205e-03
3.345840099999999873e-02,3.775207779823630191e-03
3.364445469999999966e-02,3.774950459824036493e-03
3.376792089999999802e-02,3.774778923817559244e-03
3.395227840000000080e-02,3.774521635796614007e-03
3.419654240000000178e-02,3.774178614945314283e-03
3.461985769999999935e-02,3.773578410514301894e-03
3.467990950000000155e-02,3.773492675548821562e-03
3.473985749999999872e-02,3.773406942714340601e-03
3.485944419999999905e-02,3.773235483438125686e-03
3.491908400000000301e-02,3.773149756996288517e-03
3.509739530000000052e-02,3.772892590455135219e-03
3.521576790000000012e-02,3.772721156747426818e-03
3.562697489999999689e-02,3.772121205877557431e-03
3.568533189999999883e-02,3.772035507131193347e-03
3.609118929999999975e-02,3.771435675544136754e-03
3.614879690000000201e-02,3.771349993836343312e-03
3.632107169999999885e-02,3.771092961490166325e-03
3.649253310000000194e-02,3.770835948308483981e-03
3.671990299999999818e-02,3.770493293875082884e-03
3.677652580000000115e-02,3.770407635589346270e-03
3.694587359999999820e-02,3.770150673505528148e-03
3.722640800000000250e-02,3.769722445940316882e-03
3.744932249999999990e-02,3.769379902201072750e-03
3.750484409999999685e-02,3.769294271587022693e-03
3.761564139999999667e-02,3.769123016743421845e-03
3.794609239999999911e-02,3.768609303284649152e-03
3.811024350000000172e-02,3.768352475280446930e-03
3.832801789999999709e-02,3.768010067727064431e-03
3.849054019999999937e-02,3.767753284399241124e-03
3.870617500000000238e-02,3.767410936408776591e-03
3.875989619999999775e-02,3.767325354728618628e-03
3.881354310000000030e-02,3.767239775175352211e-03
3.897404079999999826e-02,3.766983049276246068e-03
3.918701509999999999e-02,3.766640777850197366e-03
3.924007809999999902e-02,3.766555215309882326e-03
3.939883820000000120e-02,3.766298540446847386e-03
3.960952859999999909e-02,3.765956337062544533e-03
4.007953250000000078e-02,3.765186503810957156e-03
4.018323120000000248e-02,3.765015453136415138e-03
4.023498040000000192e-02,3.764929930987191611e-03
4.038983000000000156e-02,3.764673377290894338e-03
4.049273419999999818e-02,3.764502352119009163e-03
4.064660190000000256e-02,3.764245830298427065e-03
4.079988930000000291e-02,3.763989327601206716e-03
4.085085730000000137e-02,3.763903830951508857e-03
4.100338109999999980e-02,3.763647353749708518e-03
4.105409649999999799e-02,3.763561865598037161e-03
4.125633449999999841e-02,3.763219934234351711e-03
4.130673929999999910e-02,3.763134456703910811e-03
4.160788569999999964e-02,3.762621636124833645e-03
4.185718599999999762e-02,3.762194344045475224e-03
4.200605599999999995e-02,3.761937994279701460e-03
4.205556230000000173e-02,3.761852548604427502e-03
4.244953370000000004e-02,3.761169059633227146e-03
4.259633349999999985e-02,3.760912786296180879e-03
4.283988209999999713e-02,3.760485706518905923e-03
4.288842589999999899e-02,3.760400296930614759e-03
4.303372860000000133e-02,3.760144080898974572e-03
4.322670569999999962e-02,3.759802489232281011e-03
4.327481560000000227e-02,3.759717096620404479e-03
4.337087509999999757e-02,3.759546317761917368e-03
4.361009829999999698e-02,3.759119407744155716e-03
4.365778569999999997e-02,3.759034032105035283e-03
4.380053619999999676e-02,3.758777917915420361e-03
4.394282299999999891e-02,3.758521822816321498e-03
4.403742540000000344e-02,3.758351103355315678e-03
4.413182499999999953e-02,3.758180392377835806e-03
4.455414840000000015e-02,3.757412297950722593e-03
4.474056810000000273e-02,3.757070977778899454e-03
4.478705179999999814e-02,3.756985653036162050e-03
4.487987470000000256e-02,3.756815009910520042e-03
4.492621420000000171e-02,3.756729691527504415e-03
4.506494700000000103e-02,3.756473749097088803e-03
4.515719859999999669e-02,3.756303131408341139e-03
4.529522390000000065e-02,3.756047220771497643e-03
4.561565869999999884e-02,3.755450170126564333e-03
4.584316940000000146e-02,3.755023768949687472e-03
4.602436819999999873e-02,3.754682686144424335e-03
4.615980060000000190e-02,3.754426896284253790e-03
4.624986849999999927e-02,3.754256380302200841e-03
4.651902589999999671e-02,3.753744883189797602e-03
4.656373419999999819e-02,3.753659641083720300e-03
4.660839960000000282e-02,3.753574401095389514e-03
4.691986699999999705e-02,3.752977780469351696e-03
4.696419369999999677e-02,3.752892557420977292e-03
4.709692359999999994e-02,3.752636900979096617e-03
4.731731260000000133e-02,3.752210849249853781e-03
4.744905459999999853e-02,3.751955243614151815e-03
4.758043189999999756e-02,3.751699657027989573e-03
4.762414379999999753e-02,3.751614465732230463e-03
4.775503939999999753e-02,3.751358904543027496e-03
4.779859160000000246e-02,3.751273721712463944e-03
4.801576009999999894e-02,3.750847839300890368e-03
4.814559110000000280e-02,3.750592335244920441e-03
4.836120139999999790e-02,3.750166537464892126e-03
4.849010740000000291e-02,3.749911084182358870e-03
4.866145090000000006e-02,3.749570509418870615e-03
4.895985910000000274e-02,3.748974585008888524e-03
4.900234049999999814e-02,3.748889461409269340e-03
4.904478510000000180e-02,3.748804339924215190e-03
4.912956429999999763e-02,3.748634103297584716e-03
4.929868529999999888e-02,3.748293655416621347e-03
4.934087499999999932e-02,3.748208548731953374e-03
4.938302859999999656e-02,3.748123444161380324e-03
4.963519859999999950e-02,3.747612861131185882e-03
4.967710250000000050e-02,3.747527771357825766e-03
4.980260260000000244e-02,3.747272514719451365e-03
5.001106959999999935e-02,3.746847129257834235e-03
5.017721960000000314e-02,3.746506858926551553e-03
5.038413659999999711e-02,3.746081568554000384e-03
5.046666589999999897e-02,3.745911467194244001e-03
5.050787989999999672e-02,3.745826419683236791e-03
5.067240099999999886e-02,3.745486250763975251e-03
5.099985089999999749e-02,3.744806014311982418e-03
5.104063439999999979e-02,3.744720994259359299e-03
5.112210379999999887e-02,3.744550960489414267e-03
5.116278989999999832e-02,3.744465946771993910e-03
5.136573690000000025e-02,3.744040909857953431e-03
5.148712109999999814e-02,3.743785913045955590e-03
5.160821980000000059e-02,3.743530935234409569e-03
5.164852290000000040e-02,3.743445946852606929e-03
5.192976900000000062e-02,3.742851087283060717e-03
5.200984570000000140e-02,3.742681146401742164e-03
5.212973010000000046e-02,3.742426250907799831e-03
5.224933949999999855e-02,3.742171374406173031e-03
5.228914839999999897e-02,3.742086419792505815e-03
5.244808220000000271e-02,3.741746622437675841e-03
5.264607470000000344e-02,3.741321923214223962e-03
5.292201970000000311e-02,3.740727432899517563e-03
5.296132299999999765e-02,3.740642514148622734e-03
5.303984240000000211e-02,3.740472682974032691e-03
5.307905849999999814e-02,3.740387770550177016e-03
5.319653330000000124e-02,3.740133045931735931e-03
5.339175040000000011e-02,3.739708547074790859e-03
5.354741159999999722e-02,3.739368985941498441e-03
5.366386120000000287e-02,3.739114337227988135e-03
5.385738429999999827e-02,3.738689964865598344e-03
5.389600549999999657e-02,3.738605096716619836e-03
5.401170360000000226e-02,3.738350504915762939e-03
5.420398480000000047e-02,3.737926227397558605e-03
5.431902689999999756e-02,3.737671686174151922e-03
5.443382580000000193e-02,3.737417163914463422e-03
5.473877910000000263e-02,3.736738530588625418e-03
5.481475239999999971e-02,3.736568893322926490e-03
5.489062050000000081e-02,3.736399264482594736e-03
5.492851530000000121e-02,3.736314453221826950e-03
5.507983360000000272e-02,3.735975229239892580e-03
5.511759819999999949e-02,3.735890428509404566e-03
5.523073729999999903e-02,3.735636038953168026e-03
5.541878909999999742e-02,3.735212098473156186e-03
5.549383139999999881e-02,3.735042537019646249e-03
5.568099469999999995e-02,3.734618670228151503e-03
5.571835189999999743e-02,3.734533903185212767e-03
5.601631270000000107e-02,3.733855842616616572e-03
5.612764020000000215e-02,3.733601604629821057e-03
5.627573429999999793e-02,3.733262650108325892e-03
5.642343970000000125e-02,3.732923729253103621e-03
5.657075939999999664e-02,3.732584842060525203e-03
5.668099790000000193e-02,3.732330698755036754e-03
5.671769649999999774e-02,3.732245988527009301e-03
5.682764989999999905e-02,3.731991870463407558e-03
5.690083420000000003e-02,3.731822468937602815e-03
5.711982439999999800e-02,3.731314314834705947e-03
5.715624119999999919e-02,3.731229629844505079e-03
5.726535270000000094e-02,3.730975587490416214e-03
5.744674450000000071e-02,3.730552225618463842e-03
5.748295419999999850e-02,3.730467559551314035e-03
5.759144669999999994e-02,3.730213573963307022e-03
5.769973510000000333e-02,3.729959607294243678e-03
5.773578619999999995e-02,3.729874955941882720e-03
5.777181470000000013e-02,3.729790306691365635e-03
5.798751569999999883e-02,3.729282455324680300e-03
5.802338790000000079e-02,3.729197820785766244e-03
5.805923799999999912e-02,3.729113188348310518e-03
5.834524540000000231e-02,3.728436204493281586e-03
5.841652840000000069e-02,3.728266979539871136e-03
5.845213739999999963e-02,3.728182370214449398e-03
5.873623160000000093e-02,3.727505571233259794e-03
5.884241330000000020e-02,3.727251806271872185e-03
5.887776470000000151e-02,3.727167222151773953e-03
5.915981499999999754e-02,3.726490624788897105e-03
5.919497680000000012e-02,3.726406059567451915e-03
5.930033710000000291e-02,3.726152376500312634e-03
5.940551060000000272e-02,3.725898712327812244e-03
5.947552290000000103e-02,3.725729613375718379e-03
5.958038699999999854e-02,3.725475980690796593e-03
5.971991950000000299e-02,3.725137833162660284e-03
5.999801099999999693e-02,3.724461638841586493e-03
6.003268190000000254e-02,3.724377123994295369e-03
6.024028800000000294e-02,3.723870078971046500e-03
6.027481950000000005e-02,3.723785578810082184e-03
6.041274809999999662e-02,3.723447599143888103e-03
6.055036250000000314e-02,3.723109653039264645e-03
6.058471719999999894e-02,3.723025171756659275e-03
6.065336839999999757e-02,3.722856215483412445e-03
6.085885719999999804e-02,3.722349396994709906e-03
6.113176780000000032e-02,3.721673756432189450e-03
6.119980530000000002e-02,3.721504867256849279e-03
6.123379560000000166e-02,3.721420425813620932e-03
6.133565380000000067e-02,3.721167114061324239e-03
6.136956899999999882e-02,3.721082681002805051e-03
6.150504259999999696e-02,3.720744969728311761e-03
6.167396609999999807e-02,3.720322877790195864e-03
6.174140610000000001e-02,3.720154055683957267e-03
6.194328550000000044e-02,3.719647639653096520e-03
6.204397889999999777e-02,3.719394459921824148e-03
6.214450920000000322e-02,3.719141299044648012e-03
6.217798310000000050e-02,3.719056916275088019e-03
6.227829700000000329e-02,3.718803780534275360e-03
6.241179809999999883e-02,3.718466295535995982e-03
6.244512879999999933e-02,3.718381929522271423e-03
6.257827400000000317e-02,3.718044486409002695e-03
6.284371810000000114e-02,3.717369700690727110e-03
6.297602060000000168e-02,3.717032358078539798e-03
6.300905280000000663e-02,3.716948027658932736e-03
6.323979509999999582e-02,3.716357773330006362e-03
6.327268960000000109e-02,3.716273459654963803e-03
6.333842739999999416e-02,3.716104838583292672e-03
6.337127069999999585e-02,3.716020531186530959e-03
6.346969869999999347e-02,3.715767621551945791e-03
6.353523260000000505e-02,3.715599025591357577e-03
6.373143000000000558e-02,3.715093287924638599e-03
6.376407089999999722e-02,3.715009005635964805e-03
6.386189339999999437e-02,3.714756171321525156e-03
6.389446769999999887e-02,3.714671897400432729e-03
6.402459889999999321e-02,3.714334822632893354e-03
6.405709029999999415e-02,3.714250559169921841e-03
6.441341509999999604e-02,3.713323799102332193e-03
6.451025289999999524e-02,3.713071090267612041e-03
6.479989830000000561e-02,3.712313076654427235e-03
6.483200120000000288e-02,3.712228863371251804e-03
6.492821479999999479e-02,3.711976236062292187e-03
6.505627819999999784e-02,3.711639428909415880e-03
6.508825470000000057e-02,3.711555232345671845e-03
6.518409000000000009e-02,3.711302655192216544e-03
6.527978469999999589e-02,3.711050096844350273e-03
6.531165170000000075e-02,3.710965914907111973e-03
6.540715969999999491e-02,3.710713381630923076e-03
6.556603060000000538e-02,3.710292534618815381e-03
6.569285060000000509e-02,3.709955894608410812e-03
6.578780519999999354e-02,3.709703436531204806e-03
6.585103220000000646e-02,3.709535141588694677e-03
6.591419860000000130e-02,3.709366854999519066e-03
6.607185029999999848e-02,3.708946175069330418e-03
6.619770129999999475e-02,3.708609668708341602e-03
6.635467940000000509e-02,3.708189082730199617e-03
6.641736669999999398e-02,3.708020862951329991e-03
6.644868819999999454e-02,3.707936756192913193e-03
6.660507479999999703e-02,3.707516253708678308e-03
6.669873070000000015e-02,3.707263977262360150e-03
6.682340109999999889e-02,3.706927637882440930e-03
6.691675140000000188e-02,3.706675405256871884e-03
6.710306259999999912e-02,3.706170996337733187e-03
6.728885780000000427e-02,3.705666662517669019e-03
6.731977379999999622e-02,3.705582614181441182e-03
