q,I
2.039995199999999811e-03,5.998808302704647377e-03
2.884988900000000096e-03,5.998667299580307671e-03
4.079990399999999622e-03,5.998385305480828308e-03
4.561568000000000220e-03,5.998244314505425841e-03
5.769977800000000191e-03,5.997821365874908030e-03
6.119985599999999866e-03,5.997680391096184109e-03
6.451031299999999968e-03,5.997539420366300444e-03
7.355307299999999833e-03,5.997116532468287596e-03
8.159980799999999243e-03,5.996693681004914775e-03
8.411115699999999196e-03,5.996552738613082634e-03
8.654966599999999385e-03,5.996411800269000475e-03
9.123135799999999504e-03,5.996129935723551810e-03
1.019997589999999989e-02,5.995425345186174322e-03
1.040197520000000000e-02,5.995284439219252144e-03
1.098571020000000016e-02,5.994861745597188790e-03
1.153995529999999985e-02,5.994439088390322683e-03
1.189511369999999950e-02,5.994157337147949273e-03
1.223997100000000053e-02,5.993875602087389565e-03
1.240880609999999926e-02,5.993734740624962094e-03
1.290206219999999980e-02,5.993312180507472456e-03
1.306234239999999949e-02,5.993171335224460432e-03
1.368470339999999959e-02,5.992607994536149237e-03
1.427996599999999984e-02,5.992044718551429484e-03
1.442494390000000071e-02,5.991903909664171059e-03
1.471061409999999993e-02,5.991622304019440098e-03
1.485138870000000076e-02,5.991481507261656181e-03
1.553614000000000037e-02,5.990777584113578767e-03
1.593287120000000043e-02,5.990355278732465219e-03
1.631996089999999955e-02,5.989933009727643407e-03
1.644696630000000090e-02,5.989792261475716806e-03
1.682223050000000025e-02,5.989370040967052604e-03
1.730993239999999850e-02,5.988807136860486123e-03
1.742972569999999902e-02,5.988666420934963229e-03
1.754870130000000042e-02,5.988525709049701516e-03
1.824627070000000087e-02,5.987681522574593747e-03
1.835995569999999966e-02,5.987540838966879872e-03
1.847294110000000100e-02,5.987400159398331700e-03
1.880782519999999944e-02,5.986978144926087195e-03
1.924527490000000132e-02,5.986415515502593009e-03
1.935309240000000069e-02,5.986274868242123792e-03
2.009162109999999835e-02,5.985290450472984317e-03
2.019492059999999922e-02,5.985149835512094778e-03
2.039995039999999843e-02,5.984868617700539115e-03
2.050169640000000168e-02,5.984728014849629261e-03
2.080394890000000080e-02,5.984306230515101799e-03
2.100303430000000082e-02,5.984025061139170570e-03
2.129817330000000064e-02,5.983603337342925828e-03
2.168544450000000137e-02,5.983041095442379401e-03
2.197141860000000058e-02,5.982619456382802861e-03
2.206591980000000008e-02,5.982478918098704107e-03
2.243994499999999934e-02,5.981916805303309596e-03
2.253248119999999924e-02,5.981776287189164223e-03
2.280783739999999934e-02,5.981354757047872665e-03
2.307990860000000075e-02,5.980933263205390552e-03
2.325952140000000015e-02,5.980652287474456062e-03
2.379022509999999951e-02,5.979809457058250614e-03
2.387752890000000017e-02,5.979668999433924124e-03
2.447993949999999891e-02,5.978685908940970309e-03
2.456479220000000116e-02,5.978545483565742176e-03
2.464935279999999965e-02,5.978405062220924597e-03
2.481760959999999849e-02,5.978124231622136860e-03
2.490131170000000130e-02,5.977983822368206600e-03
2.523334379999999863e-02,5.977422225650007824e-03
2.556106320000000112e-02,5.976860693403011730e-03
2.580412149999999905e-02,5.976439586521467735e-03
2.596489630000000173e-02,5.976158868743349471e-03
2.612468180000000056e-02,5.975878167077976026e-03
2.651993379999999928e-02,5.975176483401232683e-03
2.659827940000000085e-02,5.975036158748337801e-03
2.683194360000000153e-02,5.974615208951815880e-03
2.721692649999999866e-02,5.973913706491008023e-03
2.736940339999999888e-02,5.973633133690287034e-03
2.744532419999999931e-02,5.973492853328756999e-03
2.774693010000000085e-02,5.972931772137410333e-03
2.834051430000000121e-02,5.971809802953028518e-03
2.841384049999999897e-02,5.971669574914567971e-03
2.855992799999999832e-02,5.971389130909323870e-03
2.863269220000000045e-02,5.971248914942341689e-03
2.884988380000000005e-02,5.970828291182186942e-03
2.899377430000000047e-02,5.970547895458063262e-03
2.920828110000000047e-02,5.970127332042394867e-03
2.942122390000000143e-02,5.969706804829244019e-03
2.970277299999999829e-02,5.969146158185931195e-03
3.012016249999999867e-02,5.968305308864351767e-03
3.032670299999999999e-02,5.967884938484840744e-03
3.059992200000000162e-02,5.967324500929207381e-03
3.066784640000000048e-02,5.967184401589755750e-03
3.087072290000000135e-02,5.966764127689663799e-03
3.107227489999999856e-02,5.966343889962959918e-03
3.113916889999999993e-02,5.966203818758613643e-03
3.120591959999999970e-02,5.966063751572481949e-03
3.166923519999999964e-02,5.965083393784511440e-03
3.173487090000000344e-02,5.964943358743957612e-03
3.186573689999999681e-02,5.964663300714346042e-03
3.193096869999999948e-02,5.964523277725230187e-03
3.225514909999999819e-02,5.963823223034445120e-03
3.263991580000000226e-02,5.962983289945664525e-03
3.270360349999999749e-02,5.962843315153077903e-03
3.289392669999999935e-02,5.962423414867927887e-03
3.295712349999999763e-02,5.962283456136517092e-03
3.320870809999999784e-02,5.961723661358929796e-03
3.345840099999999873e-02,5.961163930812235674e-03
3.364445469999999966e-02,5.960744175047738048e-03
3.376792089999999802e-02,5.960464357939635784e-03
3.395227840000000080e-02,5.960044662376028438e-03
3.419654240000000178e-02,5.959485124469318142e-03
3.461985769999999935e-02,5.958506087601394587e-03
3.467990950000000155e-02,5.958366241237579922e-03
3.473985749999999872e-02,5.958226398885468553e-03
3.485944419999999905e-02,5.957946726214208115e-03
3.491908400000000301e-02,5.957806895894558578e-03
3.509739530000000052e-02,5.957387429000853690e-03
3.521576790000000012e-02,5.957107804455418626e-03
3.562697489999999689e-02,5.956129244857241364e-03
3.568533189999999883e-02,5.955989466666619485e-03
3.609118929999999975e-02,5.955011131572606614e-03
3.614879690000000201e-02,5.954871385448631815e-03
3.632107169999999885e-02,5.954452171126249291e-03
3.649253310000000194e-02,5.954032992870038517e-03
3.671990299999999818e-02,5.953474144626495074e-03
3.677652580000000115e-02,5.953334442582884634e-03
3.694587359999999820e-02,5.952915360488171895e-03
3.722640800000000250e-02,5.952216970449235485e-03
3.744932249999999990e-02,5.951658330515537110e-03
3.750484409999999685e-02,5.951518680544179429e-03
3.761564139999999667e-02,5.951239392615354819e-03
3.794609239999999911e-02,5.950401624930903161e-03
3.811024350000000172e-02,5.949982795138060790e-03
3.832801789999999709e-02,5.949424411459808965e-03
3.849054019999999937e-02,5.949005665729551612e-03
3.870617500000000238e-02,5.948447394119269274e-03
3.875989619999999775e-02,5.948307836220997728e-03
3.881354310000000030e-02,5.948168282324838192e-03
3.897404079999999826e-02,5.947749644645278569e-03
3.918701509999999999e-02,5.947191517086443217e-03
3.924007809999999902e-02,5.947051995197468778e-03
3.939883820000000120e-02,5.946633453534804110e-03
3.960952859999999909e-02,5.946075453983919352e-03
4.007953250000000078e-02,5.944820188949381280e-03
4.018323120000000248e-02,5.944541285148804977e-03
4.023498040000000192e-02,5.944401839245706115e-03
4.038983000000000156e-02,5.943983525522379859e-03
4.049273419999999818e-02,5.943704669694151004e-03
4.064660190000000256e-02,5.943286415929414923e-03
4.079988930000000291e-02,5.942868198137373284e-03
4.085085730000000137e-02,5.942728800198528519e-03
4.100338109999999980e-02,5.942310630362064756e-03
4.105409649999999799e-02,5.942171248409508673e-03
4.125633449999999841e-02,5.941613760550260026e-03
4.130673929999999910e-02,5.941474398574958168e-03
4.160788569999999964e-02,5.940638310608486669e-03
4.185718599999999762e-02,5.939941680482341280e-03
4.200605599999999995e-02,5.939523750329589631e-03
4.205556230000000173e-02,5.939384448265171319e-03
4.244953370000000004e-02,5.938270175492028728e-03
4.259633349999999985e-02,5.937852389072539351e-03
4.283988209999999713e-02,5.937156158205177982e-03
4.288842589999999899e-02,5.937016924005823933e-03
4.303372860000000133e-02,5.936599245350456834e-03
4.322670569999999962e-02,5.936042396341451727e-03
4.327481560000000227e-02,5.935903194064288263e-03
4.337087509999999757e-02,5.935624801480249811e-03
4.361009829999999698e-02,5.934928889828988176e-03
4.365778569999999997e-02,5.934789719467819732e-03
4.380053619999999676e-02,5.934372232310179164e-03
4.394282299999999891e-02,5.933954781047252013e-03
4.403742540000000344e-02,5.933676500144640688e-03
4.413182499999999953e-02,5.933398235194579408e-03
4.455414840000000015e-02,5.932146240270625565e-03
4.474056810000000273e-02,5.931589901730001564e-03
4.478705179999999814e-02,5.931450827058922654e-03
4.487987470000000256e-02,5.931172689671422582e-03
4.492621420000000171e-02,5.931033626957639068e-03
4.506494700000000103e-02,5.930616462721888249e-03
4.515719859999999669e-02,5.930338373156592707e-03
4.529522390000000065e-02,5.929921268690832060e-03
4.561565869999999884e-02,5.928948164371639420e-03
4.584316940000000146e-02,5.928253209354810913e-03
4.602436819999999873e-02,5.927697317024577597e-03
4.615980060000000190e-02,5.927280439590609622e-03
4.624986849999999927e-02,5.927002541207634055e-03
4.651902589999999671e-02,5.926168941603712423e-03
4.656373419999999819e-02,5.926030022269272897e-03
4.660839960000000282e-02,5.925891106914313311e-03
4.691986699999999705e-02,5.924918810869937540e-03
4.696419369999999677e-02,5.924779927354619120e-03
4.709692359999999994e-02,5.924363300678527414e-03
4.731731260000000133e-02,5.923669002458892795e-03
4.744905459999999853e-02,5.923252471266883534e-03
4.758043189999999756e-02,5.922835975872981808e-03
4.762414379999999753e-02,5.922697152028908764e-03
4.775503939999999753e-02,5.922280704360631705e-03
4.779859160000000246e-02,5.922141896426735483e-03
4.801576009999999894e-02,5.921447916392966540e-03
4.814559110000000280e-02,5.921031576089133205e-03
4.836120139999999790e-02,5.920337755087528436e-03
4.849010740000000291e-02,5.919921510185869977e-03
4.866145090000000006e-02,5.919366572628989923e-03
4.895985910000000274e-02,5.918395584891870953e-03
4.900234049999999814e-02,5.918256888251667742e-03
4.904478510000000180e-02,5.918118195586167911e-03
4.912956429999999763e-02,5.917840822169670618e-03
4.929868529999999888e-02,5.917286123006282143e-03
4.934087499999999932e-02,5.917147458145126208e-03
4.938302859999999656e-02,5.917008797258279870e-03
4.963519859999999950e-02,5.916176915324559624e-03
4.967710250000000050e-02,5.916038282236146979e-03
