binning,bins_number,empirical_var,filename,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,sigma_x,sigma_y,variance,wavelength
False,1000,0.009735506656936233,sim_000_rg1.000_variance0.010_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.01,0.154
False,1000,0.009735506656936233,sim_001_rg1.000_variance0.010_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.01,0.154
False,1000,0.009735506656936233,sim_002_rg1.000_variance0.010_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.01,0.154
False,1000,0.009735506656936233,sim_003_rg1.000_variance0.010_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.01,0.154
False,1000,0.09735506656936099,sim_004_rg1.000_variance0.100_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.1,0.154
False,1000,0.09735506656936099,sim_005_rg1.000_variance0.100_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.1,0.154
False,1000,0.09735506656936099,sim_006_rg1.000_variance0.100_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.1,0.154
False,1000,0.09735506656936099,sim_007_rg1.000_variance0.100_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.1,0.154
False,1000,0.18237679682340868,sim_008_rg1.000_variance0.200_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.2,0.154
False,1000,0.18237679682340868,sim_009_rg1.000_variance0.200_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.2,0.154
False,1000,0.18237679682340868,sim_010_rg1.000_variance0.200_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.2,0.154
False,1000,0.18237679682340868,sim_011_rg1.000_variance0.200_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.2,0.154
False,1000,0.251645321963609,sim_012_rg1.000_variance0.300_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.3,0.154
False,1000,0.251645321963609,sim_013_rg1.000_variance0.300_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.3,0.154
False,1000,0.251645321963609,sim_014_rg1.000_variance0.300_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.3,0.154
False,1000,0.251645321963609,sim_015_rg1.000_variance0.300_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.3,0.154
False,1000,0.31241255757525144,sim_016_rg1.000_variance0.400_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.4,0.154
False,1000,0.31241255757525144,sim_017_rg1.000_variance0.400_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.4,0.154
False,1000,0.31241255757525144,sim_018_rg1.000_variance0.400_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.4,0.154
False,1000,0.31241255757525144,sim_019_rg1.000_variance0.400_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.4,0.154
False,1000,0.36834909388245896,sim_020_rg1.000_variance0.500_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.5,0.154
False,1000,0.36834909388245896,sim_021_rg1.000_variance0.500_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.5,0.154
False,1000,0.36834909388245896,sim_022_rg1.000_variance0.500_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.5,0.154
False,1000,0.36834909388245896,sim_023_rg1.000_variance0.500_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.5,0.154
False,1000,0.47208114098693854,sim_024_rg1.000_variance0.700_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.7,0.154
False,1000,0.47208114098693854,sim_025_rg1.000_variance0.700_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.7,0.154
False,1000,0.47208114098693854,sim_026_rg1.000_variance0.700_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.7,0.154
False,1000,0.47208114098693854,sim_027_rg1.000_variance0.700_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.7,0.154
False,1000,0.5213994275547722,sim_028_rg1.000_variance0.800_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,0.8,0.154
False,1000,0.5213994275547722,sim_029_rg1.000_variance0.800_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,0.8,0.154
False,1000,0.5213994275547722,sim_030_rg1.000_variance0.800_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,0.8,0.154
False,1000,0.5213994275547722,sim_031_rg1.000_variance0.800_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,0.8,0.154
False,1000,0.6168064601329011,sim_032_rg1.000_variance1_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,1,1,0.154
False,1000,0.6168064601329011,sim_033_rg1.000_variance1_sigma_x1_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,1,5,1,0.154
False,1000,0.6168064601329011,sim_034_rg1.000_variance1_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,1,1,0.154
False,1000,0.6168064601329011,sim_035_rg1.000_variance1_sigma_x5_sigma_y5.csv,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,1.0,1500,5,5,1,0.154
