# Fitting Parameters Used:
# q_min: 0.0
# q_max: 0.2
# form_factor_name: guinier_ff
# f2_initial: 0.0
# f2_min: -1.0
# f2_max: 1.0
# f2_free: False
# rg_initial: 2.0
# rg_min: 0.5
# rg_max: 2.5
# rg_free: True
# perform_guinier_estimation: False
# var_initial: 0.2
# var_min: 5e-06
# var_max: 0.5
# var_free: True
# A_initial: 0.1
# A_min: -1.0
# A_max: 0.0
# A_free: True
# auto_init_A: True
# plot_fitting_curve: False
# auto_set_parameters: False
# auto_rg_bound_percent: 0.2

binning,bins_number,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,variance,wavelength,filename1,filename2,A_fit,A_fit_error,Rg_guinier,f2_fit,f2_fit_error,rg_fit,rg_fit_error,var_fit,var_fit_error
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.01,0.154,sim_000_rg2.000_variance0.010_sigma_x0.010.csv,sim_001_rg2.000_variance0.010_sigma_x1.csv,-1.7644502016179909e-06,3.698303978893219e-07,2.0022033945709863,-1.7777966967550775e-15,0.00872860885367779,1.8890371685005223,0.6841685834691521,0.19029205302754004,0.6524210344295543
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.01,0.154,sim_000_rg2.000_variance0.010_sigma_x0.010.csv,sim_002_rg2.000_variance0.010_sigma_x5.csv,-4.407695447878593e-05,8.711400780102197e-06,2.0021352141756337,-1.7789747096777497e-15,0.007550685578884559,1.888992479791316,0.6615551172062252,0.19028810218445477,0.6117533202012059
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.01,0.154,sim_001_rg2.000_variance0.010_sigma_x1.csv,sim_002_rg2.000_variance0.010_sigma_x5.csv,-4.2312504253115965e-05,8.591341321302954e-06,2.002132370716446,-1.7808831081507378e-15,0.007934832742636283,1.8889906136168193,0.6722025706147259,0.19028793916991915,0.6299889763508633
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.1,0.154,sim_003_rg2.000_variance0.100_sigma_x0.010.csv,sim_004_rg2.000_variance0.100_sigma_x1.csv,-1.8046078390691577e-06,4.904331079165842e-09,2.0219311504672923,-2.8324576504760617e-16,0.00013002902705428344,1.982243557822029,0.009587399266286207,0.19845169732183157,0.009346157102017229
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.1,0.154,sim_003_rg2.000_variance0.100_sigma_x0.010.csv,sim_005_rg2.000_variance0.100_sigma_x5.csv,-4.50790007734025e-05,1.2772090703196593e-07,2.021849658728038,-2.8677402761030675e-16,0.00012456782696335054,1.9820679876357785,0.009923743427909457,0.19843625644809113,0.00974723415943458
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.1,0.154,sim_004_rg2.000_variance0.100_sigma_x1.csv,sim_005_rg2.000_variance0.100_sigma_x5.csv,-4.327439293656261e-05,1.236178111984146e-07,2.0218462599136906,-2.8630835509912665e-16,0.00012367640725074785,1.9820606707304984,0.009983539046357666,0.19843561370208113,0.009830594705777207
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.2,0.154,sim_006_rg2.000_variance0.200_sigma_x0.010.csv,sim_007_rg2.000_variance0.200_sigma_x1.csv,-1.8482761780838191e-06,9.486879084251266e-07,2.0435891924829352,0.0,0.02440350102132405,2.0,1.764716540884005,0.2,1.8105891082192298
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.2,0.154,sim_006_rg2.000_variance0.200_sigma_x0.010.csv,sim_008_rg2.000_variance0.200_sigma_x5.csv,-4.6003119299419024e-05,2.1487224083545138e-07,2.0434930073390554,4.405650197217204e-15,0.0002894570404266896,2.12718150735582,0.015850877740960792,0.24316454248474187,0.018768070628219932
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.2,0.154,sim_007_rg2.000_variance0.200_sigma_x1.csv,sim_008_rg2.000_variance0.200_sigma_x5.csv,-4.4161500558573255e-05,2.1386743908550308e-07,2.043488995472517,4.401475870375639e-15,0.0003191543934070929,2.1271729553027368,0.016109286924970254,0.24316086590246955,0.019541355595432314
True,1000,guinier_ff,True,"[500, 500]",0.075,0.5,0.0001,True,2.0,1500,0.3,0.154,sim_009_rg2.000_variance0.300_sigma_x0.010.csv,sim_010_rg2.000_variance0.300_sigma_x1.csv,-1.8911391686812057e-06,2.0353270951641486e-06,2.0649802662964643,0.0,0.05061348384166762,2.0,3.696334496326256,0.2,3.796761592639803
