q,I
2.884988915472701341e-03,9.902970523355965060e-01
4.079990443907558634e-03,9.902841003460736147e-01
4.561567985786952814e-03,9.902776244482691670e-01
5.769977798489278956e-03,9.902581971426742680e-01
6.340682733023049640e-03,9.902474044536605513e-01
7.355307312395488115e-03,9.902258195926942896e-01
8.327404047578651144e-03,9.902020770901334146e-01
8.654966616593607817e-03,9.901934436584732824e-01
9.123135843279811530e-03,9.901804937371738724e-01
1.028077563730918007e-02,9.901455302486000809e-01
1.098571021851045895e-02,9.901222222901471248e-01
1.177672755936098187e-02,9.900941675629756356e-01
1.235252773096813528e-02,9.900725877856054735e-01
1.290206219902475908e-02,9.900510087404923443e-01
1.306234239683946516e-02,9.900445351690972950e-01
1.368470344418450113e-02,9.900186415295818554e-01
1.438869943399089663e-02,9.899878941812586541e-01
1.478100139706462965e-02,9.899700937495661268e-01
1.573450556531614045e-02,9.899247858236135400e-01
1.642156524682892443e-02,9.898904832400916565e-01
1.682223054240777546e-02,9.898697731602523753e-01
1.738979457850241619e-02,9.898395721606821906e-01
1.754870129082577307e-02,9.898309435527642419e-01
1.828416566421292230e-02,9.897899592742368524e-01
1.869619716347182756e-02,9.897662327711631569e-01
1.929918364557544480e-02,9.897306445016877952e-01
2.026300232544161681e-02,9.896713352065787950e-01
2.065282266116508919e-02,9.896465347358913700e-01
2.115060379178675121e-02,9.896141877062735182e-01
2.168544445066949641e-02,9.895786077650212675e-01
2.210292436831679322e-02,9.895501453869876007e-01
2.271605197775588073e-02,9.895074539498689425e-01
2.322359887659984634e-02,9.894712331125100624e-01
2.383387699042760488e-02,9.894266066909849222e-01
2.467960512845729718e-02,9.893628181030492685e-01
2.523334380282999875e-02,9.893199038138829060e-01
2.568259234782661535e-02,9.892843401667696934e-01
2.607141996895815869e-02,9.892530887680474061e-01
2.662408956956965889e-02,9.892078308998131231e-01
2.729316496419956911e-02,9.891518016348441744e-01
2.764639483396762187e-02,9.891216341407508272e-01
2.837717740595595978e-02,9.890580712382925910e-01
2.872916062927501415e-02,9.890268308787474316e-01
2.920789007784327374e-02,9.889837431338479590e-01
2.970277298682157119e-02,9.889385038860184496e-01
3.025785618045647232e-02,9.888868059866929849e-01
3.069670065872547385e-02,9.888452659958757440e-01
3.113912112816735744e-02,9.888028055511007830e-01
3.176096300240335846e-02,9.887420736287481082e-01
3.214708900356792048e-02,9.887037423220195187e-01
3.280326136581714763e-02,9.886376058609039896e-01
3.312484656867415583e-02,9.886046940206312250e-01
3.362359219171360408e-02,9.885530227141369197e-01
3.407441042953014004e-02,9.885056609446836173e-01
3.473379046865633646e-02,9.884352704631517161e-01
3.507741571741850722e-02,9.883980334646566002e-01
3.564642721214705823e-02,9.883356175898887486e-01
3.618701928624273867e-02,9.882753599060469796e-01
3.670712489194120215e-02,9.882165422961305401e-01
3.708614080972132132e-02,9.881731498388413026e-01
3.754174921902860007e-02,9.881204370635165990e-01
3.812811793995251469e-02,9.880515946008835426e-01
3.868291612047389944e-02,9.879855247287274711e-01
3.912305059424538850e-02,9.879324279342085458e-01
3.953929845820120664e-02,9.878816704400791293e-01
4.016591471399563046e-02,9.878042514465104063e-01
4.067698845502114302e-02,9.877401730506752964e-01
4.118545811890316627e-02,9.876756706372766814e-01
4.173253587206759985e-02,9.876053704309475378e-01
4.204318572275399929e-02,9.875650639378631412e-01
4.258632330768614971e-02,9.874938088167425354e-01
4.307434429259057729e-02,9.874290335470743418e-01
4.360982381957401177e-02,9.873571236788657446e-01
4.403735780037012354e-02,9.872991054252514553e-01
4.470558408880612178e-02,9.872072542660560446e-01
4.509307064578609719e-02,9.871533398678653537e-01
4.572941404741396459e-02,9.870638636616801964e-01
4.614165480234162786e-02,9.870052276051504148e-01
4.655254639144154605e-02,9.869462746337624992e-01
4.707263285125648511e-02,9.868708711412498280e-01
4.763856754890238160e-02,9.867879127006694562e-01
4.808067560178809485e-02,9.867224317557361513e-01
4.850071673697280844e-02,9.866596409570755899e-01
4.916112643085747413e-02,9.865598321849752272e-01
4.962448309647122385e-02,9.864890094896894279e-01
5.009414461773795124e-02,9.864165848361641231e-01
