q,I
2.884988915472701341e-03,9.760321683521577807e-01
4.079990443907558634e-03,9.760184169337557947e-01
4.561567985786952814e-03,9.760115413456216249e-01
5.769977798489278956e-03,9.759909150654707544e-01
6.340682733023049640e-03,9.759794563437674819e-01
7.355307312395488115e-03,9.759565395459846027e-01
8.327404047578651144e-03,9.759313321228951787e-01
8.654966616593607817e-03,9.759221660439860724e-01
9.123135843279811530e-03,9.759084172080478847e-01
1.028077563730918007e-02,9.758712969728697839e-01
1.098571021851045895e-02,9.758465514403735774e-01
1.177672755936098187e-02,9.758167665855529416e-01
1.235252773096813528e-02,9.757938561351350293e-01
1.290206219902475908e-02,9.757709465989782283e-01
1.306234239683946516e-02,9.757640739155974963e-01
1.368470344418450113e-02,9.757365839887089942e-01
1.438869943399089663e-02,9.757039413842876208e-01
1.478100139706462965e-02,9.756850438642497014e-01
1.573450556531614045e-02,9.756369439123218079e-01
1.642156524682892443e-02,9.756005278604907849e-01
1.682223054240777546e-02,9.755785419514024781e-01
1.738979457850241619e-02,9.755464806656911625e-01
1.754870129082577307e-02,9.755373206093320704e-01
1.828416566421292230e-02,9.754938123504381942e-01
1.869619716347182756e-02,9.754686249028825529e-01
1.929918364557544480e-02,9.754308455855750237e-01
2.026300232544161681e-02,9.753678856585944468e-01
2.065282266116508919e-02,9.753415589569355282e-01
2.115060379178675121e-02,9.753072215415103940e-01
2.168544445066949641e-02,9.752694526206771020e-01
2.210292436831679322e-02,9.752392394500324357e-01
2.271605197775588073e-02,9.751939223528056644e-01
2.322359887659984634e-02,9.751554742288419675e-01
2.383387699042760488e-02,9.751081041731787247e-01
2.467960512845729718e-02,9.750403948762098594e-01
2.523334380282999875e-02,9.749948435290795024e-01
2.568259234782661535e-02,9.749570949469963388e-01
2.607141996895815869e-02,9.749239238269301611e-01
2.662408956956965889e-02,9.748758863619355619e-01
2.729316496419956911e-02,9.748164167548396541e-01
2.764639483396762187e-02,9.747843972922956013e-01
2.837717740595595978e-02,9.747169330986236169e-01
2.872916062927501415e-02,9.746837757562318849e-01
2.920789007784327374e-02,9.746380444937985388e-01
2.970277298682157119e-02,9.745900302678149885e-01
3.025785618045647232e-02,9.745351619810592725e-01
3.069670065872547385e-02,9.744910750923531095e-01
3.113912112816735744e-02,9.744460118106396118e-01
3.176096300240335846e-02,9.743815579329503374e-01
3.214708900356792048e-02,9.743408780572188066e-01
3.280326136581714763e-02,9.742706903382695183e-01
3.312484656867415583e-02,9.742357629310789413e-01
3.362359219171360408e-02,9.741809278283438678e-01
3.407441042953014004e-02,9.741306668029776628e-01
3.473379046865633646e-02,9.740559685410795643e-01
3.507741571741850722e-02,9.740164533018168536e-01
3.564642721214705823e-02,9.739502195320159927e-01
3.618701928624273867e-02,9.738862770705817296e-01
3.670712489194120215e-02,9.738238637448330959e-01
3.708614080972132132e-02,9.737778192080424056e-01
3.754174921902860007e-02,9.737218853961573384e-01
3.812811793995251469e-02,9.736488375674898776e-01
3.868291612047389944e-02,9.735787329280209956e-01
3.912305059424538850e-02,9.735223945301548776e-01
3.953929845820120664e-02,9.734685389990324067e-01
4.016591471399563046e-02,9.733863960894160172e-01
4.067698845502114302e-02,9.733184091531958959e-01
4.118545811890316627e-02,9.732499734611590458e-01
4.173253587206759985e-02,9.731753878171014449e-01
4.204318572275399929e-02,9.731326248832664616e-01
4.258632330768614971e-02,9.730570284458550656e-01
4.307434429259057729e-02,9.729883078873682312e-01
4.360982381957401177e-02,9.729120195862052123e-01
4.403735780037012354e-02,9.728504697669312362e-01
4.470558408880612178e-02,9.727530296988401437e-01
4.509307064578609719e-02,9.726958359243067509e-01
4.572941404741396459e-02,9.726009190046828179e-01
4.614165480234162786e-02,9.725387187744308770e-01
4.655254639144154605e-02,9.724761833451959214e-01
4.707263285125648511e-02,9.723961992700960177e-01
4.763856754890238160e-02,9.723082031265137815e-01
4.808067560178809485e-02,9.722387471920720392e-01
4.850071673697280844e-02,9.721721459177301572e-01
4.916112643085747413e-02,9.720662825501842352e-01
4.962448309647122385e-02,9.719911653486894565e-01
5.009414461773795124e-02,9.719143504732212779e-01
5.048304401503381916e-02,9.718501755509043605e-01
5.107506848567263530e-02,9.717515633992881430e-01
5.152740015069866286e-02,9.716754368575242218e-01
5.210194457158046077e-02,9.715777992868661617e-01
5.254707842265680939e-02,9.715014327241611181e-01
5.306388174452110473e-02,9.714119576609457907e-01
5.350843700329874914e-02,9.713343013013664429e-01
5.402424822759286510e-02,9.712433661211155034e-01
5.463199243656827880e-02,9.711351709507696217e-01
5.502426890096144552e-02,9.710647182509667408e-01
5.558113219844387776e-02,9.709638271203399063e-01
5.610899997369642872e-02,9.708672697392091155e-01
5.656326662191053789e-02,9.707834483674533388e-01
5.706658755440669611e-02,9.706897910473594182e-01
5.760334580824359729e-02,9.705890471811329245e-01
5.802338054647439985e-02,9.705095789148682206e-01
5.847333423663787777e-02,9.704237664449261169e-01
5.914078515678155429e-02,9.702952980148072948e-01
5.952206428191689214e-02,9.702213157729665527e-01
6.010876226920919274e-02,9.701065042831498175e-01
6.056937909973772460e-02,9.700156086845672654e-01
6.109488942875317130e-02,9.699110383974680616e-01
6.149920107737002345e-02,9.698300059726477906e-01
6.209657308571992634e-02,9.697093438174155811e-01
6.247840031225923574e-02,9.696316151496905400e-01
6.305196713022501176e-02,9.695139221196841239e-01
6.351757122904580499e-02,9.694176571380946905e-01
6.398662324612344743e-02,9.693199959773588503e-01
6.447797364215863969e-02,9.692169149732627886e-01
6.496010549697159298e-02,9.691149855284493242e-01
6.545783188911467876e-02,9.690089974992943667e-01
6.593506547397903761e-02,9.689066508792306687e-01
6.651840639613341988e-02,9.687805710616269605e-01
6.691665404322272304e-02,9.686938637967232868e-01
6.743908754721322785e-02,9.685793534390508830e-01
6.791969255194316157e-02,9.684732367517989715e-01
6.848926174247038645e-02,9.683465548995341399e-01
6.899869374072233053e-02,9.682323396997239984e-01
6.945954483403525559e-02,9.681283212588650544e-01
6.999159583532220397e-02,9.680073675033442626e-01
7.050020535859398418e-02,9.678909576731152820e-01
7.104477778315594627e-02,9.677653720774969104e-01
7.152773639218293344e-02,9.676532388457954603e-01
7.204903644780843996e-02,9.675313579706928957e-01
7.242205467532102092e-02,9.674436209080204963e-01
7.303373134367056874e-02,9.672987788920067720e-01
7.359285608847336568e-02,9.671653725417703740e-01
7.399945856918220544e-02,9.670677187523798457e-01
7.438543260210732366e-02,9.669745155812327075e-01
7.498986540425367497e-02,9.668276706071168292e-01
7.555738188767339991e-02,9.666887437454739773e-01
7.601328159896639236e-02,9.665763985385729118e-01
7.653816693549682360e-02,9.664462653147335436e-01
7.694608186443530062e-02,9.663444994966525758e-01
7.758595108860392997e-02,9.661838719161847111e-01
7.802949468721737114e-02,9.660717386712633914e-01
7.851180313684433254e-02,9.659491317495725315e-01
7.892484363561534655e-02,9.658434969294632522e-01
7.951475983577051265e-02,9.656918151393328875e-01
7.998807639133317937e-02,9.655692780422647781e-01
8.048820219507113460e-02,9.654390500954121990e-01
8.087679340532645533e-02,9.653373522921815386e-01
8.143966967907176335e-02,9.651891204183387085e-01
8.201083051920232680e-02,9.650377779654725208e-01
8.242155769050106551e-02,9.649282612809505499e-01
8.294636972171359757e-02,9.647876264418677739e-01
8.340745308787496370e-02,9.646632952393778826e-01
8.392515688637430804e-02,9.645229777535128113e-01
8.445655881867752957e-02,9.643780616714178189e-01
8.497936255231727798e-02,9.642346260388101609e-01
8.538381894762175905e-02,9.641230575479688980e-01
8.589782107360414976e-02,9.639805729050155980e-01
8.653341765156710719e-02,9.638032501099542682e-01
8.695112393780679572e-02,9.636860014905355154e-01
8.747718380837045393e-02,9.635375944168528273e-01
8.789674214922399420e-02,9.634186379207381190e-01
8.846828925783845055e-02,9.632556912881511391e-01
8.897258560888103573e-02,9.631110924988188771e-01
8.947546215217545840e-02,9.629660959731682901e-01
8.991831600992740425e-02,9.628377531906499032e-01
9.047021203488583851e-02,9.626769932284184872e-01
9.100930730835625482e-02,9.625190507144976149e-01
9.140683245739704421e-02,9.624019828999008652e-01
9.191152118039559726e-02,9.622526766426844347e-01
9.238161244919547432e-02,9.621129302286552942e-01
9.294831973379956425e-02,9.619435314085571509e-01
9.344584685383747202e-02,9.617939908759582934e-01
9.395900971544558777e-02,9.616389881397769956e-01
9.441176097425389713e-02,9.615015183138465593e-01
9.496680500497388377e-02,9.613321911882506399e-01
9.542488500198130497e-02,9.611916796226946946e-01
9.595259852640256049e-02,9.610290821524227756e-01
9.631258235811897273e-02,9.609176547788628175e-01
9.681535728099921467e-02,9.607613638596217420e-01
9.743213253689875231e-02,9.605685711499137858e-01
9.798319490041811075e-02,9.603953625856206378e-01
9.843609681677392698e-02,9.602523165200644861e-01
9.883161977550072863e-02,9.601268676772370947e-01
9.945858333915158500e-02,9.599270421647144724e-01
9.992655773418904208e-02,9.597771191969265425e-01
1.003518882040153465e-01,9.596402904196484895e-01
1.008335912790013777e-01,9.594846518225480514e-01
1.013363547811933219e-01,9.593214661599247517e-01
1.019156209234851618e-01,9.591324746147779079e-01
1.023913822517340116e-01,9.589765209121560163e-01
1.028703368411646724e-01,9.588188103487875757e-01
1.033194350809459178e-01,9.586703173460067173e-01
1.039202425458918277e-01,9.584706945271196377e-01
1.043406016055392072e-01,9.583303761908696927e-01
1.048934234148962419e-01,9.581450620649425431e-01
1.053358114586175759e-01,9.579960953868289497e-01
1.059223505154783668e-01,9.577976582615933543e-01
1.064080039378123010e-01,9.576325917554194822e-01
1.069109733959993369e-01,9.574608848409255080e-01
1.073546116305995612e-01,9.573088149990018891e-01
1.077938696629923976e-01,9.571576447812863986e-01
1.083438334640025869e-01,9.569675579615645189e-01
1.088439754264891174e-01,9.567939333964508020e-01
1.093726456222011839e-01,9.566095785622119596e-01
1.098062178845540388e-01,9.564577786851080621e-01
1.103690488467875125e-01,9.562598725323786519e-01
1.109047990439668147e-01,9.560705976114279858e-01
1.113617079500847651e-01,9.559085357920066306e-01
1.117952191607505391e-01,9.557541579332111681e-01
1.123469593140196954e-01,9.555569151189232668e-01
1.127850944689657020e-01,9.553996289610984238e-01
1.132731879418368975e-01,9.552237295561964991e-01
1.138683471915743622e-01,9.550083007196966678e-01
1.143121705319165848e-01,9.548469822012615182e-01
1.148732569490924088e-01,9.546421963788068732e-01
1.153755882729262938e-01,9.544580484133990961e-01
1.158889537599732678e-01,9.542691173626884904e-01
1.163430753320526256e-01,9.541013249393569540e-01
1.168628723601823349e-01,9.539085381023983956e-01
1.173283471313744664e-01,9.537352050135109449e-01
1.178381965886000915e-01,9.535446321407562431e-01
1.183417044429133785e-01,9.533556975611386930e-01
1.187718870407375310e-01,9.531936599648622721e-01
1.193819719663486573e-01,9.529629450741635699e-01
1.198377631295479279e-01,9.527898752724046627e-01
1.203617853074786664e-01,9.525901313011507776e-01
1.207734804078618301e-01,9.524326720288264214e-01
1.213051105987371092e-01,9.522285803402188442e-01
1.217989747833621572e-01,9.520382427786076018e-01
1.223341804616179807e-01,9.518311908834695689e-01
1.227678058589468379e-01,9.516628134146711826e-01
1.233152277640330308e-01,9.514494871209694393e-01
1.238049937779782672e-01,9.512578840923863188e-01
1.242702631282803366e-01,9.510751962270365123e-01
1.247348084687291275e-01,9.508922067986184112e-01
1.252341088845244643e-01,9.506948104626870011e-01
1.257932157032798370e-01,9.504729316883104850e-01
1.263051225125496335e-01,9.502689766986558428e-01
1.267987094926880109e-01,9.500716158318380788e-01
1.272411374664482175e-01,9.498941241072816899e-01
1.277510951410816276e-01,9.496888408331948250e-01
1.282789713051564473e-01,9.494755173603323106e-01
1.286943464680745941e-01,9.493071414620113391e-01
1.291538811980378898e-01,9.491202680060238928e-01
1.297277422385104961e-01,9.488860454559264745e-01
1.302703427392160607e-01,9.486637213980427807e-01
1.307296814178009747e-01,9.484748499675942357e-01
1.312875698114915612e-01,9.482446680763226832e-01
1.317200407768504000e-01,9.480656062524760452e-01
1.322927722870372302e-01,9.478276705711051742e-01
1.327757260068334888e-01,9.476262828891350853e-01
1.332537026565173421e-01,9.474263458430752793e-01
1.336722997632937282e-01,9.472507122310988015e-01
1.342387328017268511e-01,9.470122482912662898e-01
1.347379602111170860e-01,9.468013320769388397e-01
1.352184438882109707e-01,9.465976517434705473e-01
1.357607078110333876e-01,9.463670242854953507e-01
1.362215650658688826e-01,9.461703623334543067e-01
1.367808467098962089e-01,9.459308975280910081e-01
1.371980021750675849e-01,9.457517117557295849e-01
1.377231170347183731e-01,9.455254494792530995e-01
1.381629381119699740e-01,9.453353752005009270e-01
1.387280069877381283e-01,9.450903341580587647e-01
1.392348589459619368e-01,9.448697918056349065e-01
1.397421305515637591e-01,9.446483436005335133e-01
1.401649520664357274e-01,9.444632223579004782e-01
1.407043058739628205e-01,9.442263454833095260e-01
1.412317878670571458e-01,9.439938994022609720e-01
1.416504670164025759e-01,9.438088533012676251e-01
1.421739296766558192e-01,9.435768178434006392e-01
1.427105919498468101e-01,9.433381282151250824e-01
1.432024989406401327e-01,9.431186616249774834e-01
1.436488397536202499e-01,9.429189310679511049e-01
1.441899887058892271e-01,9.426760328838796887e-01
1.446962167640576669e-01,9.424480773686825241e-01
1.451613118919072298e-01,9.422380417166965616e-01
1.456721334204400808e-01,9.420066535592305224e-01
1.461200220423525820e-01,9.418031833036916156e-01
1.467255550602190595e-01,9.415272096441769101e-01
1.471805225884086910e-01,9.413192222012483068e-01
1.477199296793179351e-01,9.410718809850974198e-01
1.481581998985788962e-01,9.408703222394765309e-01
1.487381959200700376e-01,9.406027738513192960e-01
1.492221779337702392e-01,9.403788267632749998e-01
1.497020780306995424e-01,9.401561640154338928e-01
1.501254041821661334e-01,9.399591832350877585e-01
1.506424230204919945e-01,9.397179682687921698e-01
1.511355121534661006e-01,9.394872518717736209e-01
1.516543554217421041e-01,9.392437655737388980e-01
1.522328051664159354e-01,9.389714575599913404e-01
1.526737707807833688e-01,9.387632396365624965e-01
1.531583826349122157e-01,9.385338362564166204e-01
1.536501626332184567e-01,9.383003866692180006e-01
1.542169825001140915e-01,9.380305058488993541e-01
1.546527008427572847e-01,9.378224599192040989e-01
1.551562131752678153e-01,9.375814135574792596e-01
1.556935773213563856e-01,9.373234050406813456e-01
1.561753496814007602e-01,9.370914412076786215e-01
1.566794495832837808e-01,9.368480414134049417e-01
1.571531395896080263e-01,9.366187255357987240e-01
1.576322833550334590e-01,9.363861477607822170e-01
1.581065161484720705e-01,9.361553673145406318e-01
1.586835662219024112e-01,9.358737341430394263e-01
1.591535226367837286e-01,9.356437231362436657e-01
1.596228447154178776e-01,9.354134454952599542e-01
1.601134619960165040e-01,9.351720737521767024e-01
1.606491197799376214e-01,9.349078305568458980e-01
1.611817610736340778e-01,9.346443174211327420e-01
1.616231254171659193e-01,9.344254054552392219e-01
1.620633995875742639e-01,9.342065238462899934e-01
1.625758273325077774e-01,9.339511095019108478e-01
1.631881155908095349e-01,9.336450391207696820e-01
1.636289513645005078e-01,9.334240629728524086e-01
1.641340879616869641e-01,9.331702400426088451e-01
1.646217095530537466e-01,9.329245614344511273e-01
1.652364121281920395e-01,9.326140116162544569e-01
1.656776413601731279e-01,9.323904681117358706e-01
1.661014501508595864e-01,9.321752829768061854e-01
1.665783837236187725e-01,9.319325694462596843e-01
