q,I
2.884988900000000096e-03,9.961778565345050795e-01
4.079990399999999622e-03,9.961654475566573685e-01
4.561568000000000220e-03,9.961592431493203614e-01
5.769977800000000191e-03,9.961406302536448543e-01
6.285508449999999483e-03,9.961313239961669952e-01
7.355307299999999833e-03,9.961096098486083017e-01
8.285548250000000087e-03,9.960878963808658115e-01
8.654966599999999385e-03,9.960785908032021574e-01
9.123135799999999504e-03,9.960661835657189656e-01
1.030097555000000081e-02,9.960320647910356762e-01
1.098571020000000016e-02,9.960103536888430531e-01
1.171753449999999967e-02,9.959855418512120195e-01
1.232438854999999903e-02,9.959638321627615198e-01
1.290206219999999980e-02,9.959421231539496988e-01
1.306234239999999949e-02,9.959359207042751683e-01
1.368470339999999959e-02,9.959111114492664729e-01
1.435245494999999941e-02,9.958832020839343269e-01
1.478100140000000035e-02,9.958645964474384105e-01
1.573450560000000040e-02,9.958211852526129837e-01
1.638346360000000196e-02,9.957901787938716609e-01
1.682223050000000025e-02,9.957684751125362999e-01
1.736982905000000049e-02,9.957405713732625507e-01
1.754870130000000042e-02,9.957312703623550920e-01
1.830311319999999853e-02,9.956909674310634450e-01
1.864038315000000195e-02,9.956723669037927937e-01
1.929918365000000274e-02,9.956351671534762193e-01
2.022883069999999867e-02,9.955804045298614069e-01
2.065282264999999950e-02,9.955545745773675126e-01
2.115060380000000073e-02,9.955235798568193850e-01
2.168544450000000137e-02,9.954894871718533711e-01
2.215909446666666782e-02,9.954584954302889699e-01
2.267015929999999929e-02,9.954244058780650217e-01
2.316971500000000045e-02,9.953903180006762330e-01
2.383387699999999984e-02,9.953438372053931005e-01
2.468260116000000129e-02,9.952824873469872102e-01
2.523334379999999863e-02,9.952415902472501186e-01
2.568259234999999835e-02,9.952075112766221032e-01
2.604478905000000288e-02,9.951796296202747305e-01
2.665005226666666838e-02,9.951321301805768904e-01
2.729316494999999704e-02,9.950805038672054792e-01
2.759612715000000008e-02,9.950557246819025092e-01
2.837717740000000183e-02,9.949906831373731553e-01
2.868083466666666512e-02,9.949648747712434016e-01
2.920775976666666399e-02,9.949194542937136454e-01
2.970277299999999829e-02,9.948761008626809677e-01
3.022343275000000107e-02,9.948296539441914277e-01
3.071283043333333448e-02,9.947852741441156610e-01
3.113912113333333273e-02,9.947460570298037874e-01
3.175661433333332867e-02,9.946882674672380409e-01
3.209305889999999883e-02,9.946562789626752776e-01
3.274581533333333766e-02,9.945933377272705433e-01
3.308291580000000121e-02,9.945603216941136804e-01
3.362359219999999649e-02,9.945066738877418322e-01
3.407441040000000476e-02,9.944612827605696648e-01
3.472476722500000140e-02,9.943947487250788253e-01
3.507741573333333224e-02,9.943581319729091206e-01
3.565615340000000133e-02,9.942972799612409540e-01
