q,I
2.884988900000000096e-03,9.760252896800249989e-01
4.079990399999999622e-03,9.760115385845834490e-01
4.561568000000000220e-03,9.760046631579244458e-01
5.769977800000000191e-03,9.759840373621752052e-01
6.285508449999999483e-03,9.759737247467596966e-01
7.355307299999999833e-03,9.759496626499500893e-01
8.285548250000000087e-03,9.759256015618378299e-01
8.654966599999999385e-03,9.759152899551186700e-01
9.123135799999999504e-03,9.759015414420205703e-01
1.030097555000000081e-02,9.758637347052270261e-01
1.098571020000000016e-02,9.758396771269437497e-01
1.171753449999999967e-02,9.758121840137568004e-01
1.232438854999999903e-02,9.757881285329789156e-01
1.290206219999999980e-02,9.757640740605321161e-01
1.306234239999999949e-02,9.757572015384913255e-01
1.368470339999999959e-02,9.757297122569222880e-01
1.435245494999999941e-02,9.756987883677772366e-01
1.478100140000000035e-02,9.756781733422790204e-01
1.573450560000000040e-02,9.756300745193182689e-01
1.638346360000000196e-02,9.755957204981183795e-01
1.682223050000000025e-02,9.755716739290464234e-01
1.736982905000000049e-02,9.755407583859858622e-01
1.754870130000000042e-02,9.755304535543287692e-01
1.830311319999999853e-02,9.754858014336176275e-01
1.864038315000000195e-02,9.754651939872074351e-01
1.929918365000000274e-02,9.754239810289375701e-01
2.022883069999999867e-02,9.753633118475556474e-01
2.065282264999999950e-02,9.753346964950031506e-01
2.115060380000000073e-02,9.753003598850678024e-01
2.168544450000000137e-02,9.752625918501699465e-01
2.215909446666666782e-02,9.752282596583654595e-01
2.267015929999999929e-02,9.751904962695406853e-01
2.316971500000000045e-02,9.751527353645850216e-01
2.383387699999999984e-02,9.751012471867297471e-01
2.468260116000000129e-02,9.750332898972196016e-01
2.523334379999999863e-02,9.749879891982884406e-01
2.568259234999999835e-02,9.749502415011939149e-01
2.604478905000000288e-02,9.749193587088915702e-01
2.665005226666666838e-02,9.748667474977829039e-01
2.729316494999999704e-02,9.748095666066518561e-01
2.759612715000000008e-02,9.747821219215497823e-01
2.837717740000000183e-02,9.747100852819466921e-01
2.868083466666666512e-02,9.746815019387971013e-01
2.920775976666666399e-02,9.746311985860257598e-01
2.970277299999999829e-02,9.745831854246825854e-01
3.022343275000000107e-02,9.745317474752195341e-01
3.071283043333333448e-02,9.744825998235194797e-01
3.113912113333333273e-02,9.744391703413287642e-01
3.175661433333332867e-02,9.743751750461661087e-01
3.209305889999999883e-02,9.743397522602028626e-01
3.274581533333333766e-02,9.742700551191108005e-01
3.308291580000000121e-02,9.742334961228626966e-01
3.362359219999999649e-02,9.741740925668397333e-01
3.407441040000000476e-02,9.741238327181860335e-01
3.472476722500000140e-02,9.740501641004650768e-01
3.507741573333333224e-02,9.740096218906325598e-01
3.565615340000000133e-02,9.739422478059506227e-01
3.618701930000000483e-02,9.738794487060454808e-01
3.666298729999999811e-02,9.738223644468981810e-01
3.708614080000000035e-02,9.737709933813436525e-01
3.752326933333333114e-02,9.737173437248912711e-01
3.812811793333333726e-02,9.736420147582697249e-01
3.869253862500000168e-02,9.735706890887999565e-01
3.913371133333332780e-02,9.735142054144892976e-01
3.950418340000000361e-02,9.734662841471711792e-01
4.016591469999999942e-02,9.733795794179082028e-01
4.063598254000000409e-02,9.733170692118779943e-01
4.115513784999999536e-02,9.732472657851136688e-01
4.173253585000000210e-02,9.731685760784634098e-01
4.203080915000000084e-02,9.731275245541346486e-01
4.262858309999999901e-02,9.730442909606612512e-01
4.310591895000000229e-02,9.729770282754091060e-01
4.360982382499999782e-02,9.729052140020331141e-01
4.403735780000000294e-02,9.728436656206872479e-01
4.469392276666667163e-02,9.727479371633550587e-01
4.506469168000000469e-02,9.726932424378411657e-01
4.572941405000000015e-02,9.725941206868897737e-01
4.614467910000000228e-02,9.725314662323710779e-01
4.656371990000000155e-02,9.724676794594008244e-01
4.707457422499999877e-02,9.723890952725051662e-01
4.764145226000000150e-02,9.723009562324216315e-01
4.808067559999999740e-02,9.722319573287288019e-01
4.850425323333332900e-02,9.721647884930036954e-01
4.912935154999999859e-02,9.720646186226377106e-01
4.962448307500000322e-02,9.719843812618508272e-01
5.009414460000000124e-02,9.719075681781268461e-01
5.050777084999999444e-02,9.718392988039583624e-01
5.108134475000000035e-02,9.717437348115202100e-01
5.152740017500000158e-02,9.716686601336922413e-01
5.212156653999999723e-02,9.715676657261698157e-01
5.254707845000000654e-02,9.714946600565433910e-01
5.303975537999999768e-02,9.714093848899489902e-01
5.353434106666666442e-02,9.713229855505699506e-01
5.405762102000000180e-02,9.712306892643385314e-01
5.466245243333333476e-02,9.711229522680543402e-01
5.504946097999999927e-02,9.710534108825026323e-01
5.557799177500000187e-02,9.709576350608634110e-01
5.613989573333333372e-02,9.708548326313556354e-01
5.659822337499999939e-02,9.707702189922284841e-01
5.705398048000000222e-02,9.706853909070805031e-01
5.762141356666666825e-02,9.705788898243737917e-01
5.802338053333333523e-02,9.705028293456153810e-01
5.848753570000000263e-02,9.704142950337284468e-01
5.907506138000000184e-02,9.703012626134068785e-01
5.954533500000000479e-02,9.702100346923892005e-01
6.013645010000000235e-02,9.700943191648744302e-01
6.055029904999999907e-02,9.700126512056000960e-01
6.110605647500000348e-02,9.699020782605095592e-01
6.152512752000000029e-02,9.698180566685159487e-01
6.211761073999999549e-02,9.696983377131264126e-01
6.247840029999999351e-02,9.696248859942032672e-01
6.306825524000000960e-02,9.695038481832671806e-01
6.353502171666666754e-02,9.694073073845993482e-01
6.395951257499998821e-02,9.693189382692354306e-01
6.446183399999999564e-02,9.692135933590075858e-01
6.498145619999999567e-02,9.691037386651366603e-01
6.545149545999999485e-02,9.690036413620107814e-01
6.596451752000000168e-02,9.688935992275219400e-01
6.650490795999999816e-02,9.687767870061492204e-01
6.694773836666666200e-02,9.686803668077356155e-01
6.744319540000000279e-02,9.685717436339376096e-01
6.798400006000000773e-02,9.684522817673519857e-01
6.848419782500000941e-02,9.683409865047162279e-01
6.902876070000001085e-02,9.682188592897666979e-01
6.944952677142857134e-02,9.681238882034151061e-01
7.003421573999998873e-02,9.679909556321394382e-01
7.053168827999999058e-02,9.678770365985297497e-01
7.104901144000000390e-02,9.677577174866378584e-01
7.153687818571428936e-02,9.676444255132776728e-01
7.206681445000000241e-02,9.675205075935504606e-01
7.243399207499999493e-02,9.674341197920844904e-01
7.301811823333333173e-02,9.672958131303798224e-01
7.357648018333333428e-02,9.671626177438500394e-01
7.401538356000000873e-02,9.670572123958924848e-01
7.447115103333333541e-02,9.669470884921826936e-01
7.497710883333333354e-02,9.668241247424057550e-01
7.554386116666667039e-02,9.666853997418202171e-01
7.600153078000000673e-02,9.665726395901579338e-01
7.655265774000000190e-02,9.664360028886471721e-01
7.697183523333332722e-02,9.663314063045359559e-01
7.755722843999998672e-02,9.661844602612787991e-01
7.799679303333333091e-02,9.660733752925709794e-01
7.851973527500000216e-02,9.659404607708272916e-01
7.889633144999999570e-02,9.658441744634147508e-01
7.949857046666665428e-02,9.656893585390763368e-01
8.002894676000001095e-02,9.655520309045144689e-01
8.045252626666667128e-02,9.654417414739132619e-01
8.087607095000000357e-02,9.653309101342075760e-01
8.147757382222221845e-02,9.651724849952338925e-01
8.201083051666666068e-02,9.650311551276105071e-01
8.248300990000000110e-02,9.649052262472509467e-01
8.298190783333332654e-02,9.647714553064852261e-01
8.339447334999999795e-02,9.646601926570191887e-01
8.391630865714286291e-02,9.645187741931712244e-01
8.444176424000000847e-02,9.643754977281362439e-01
8.500093429999999728e-02,9.642220861910765217e-01
8.543627811666666683e-02,9.641019471717596767e-01
8.590475662857142980e-02,9.639720500696572492e-01
8.652138008333333519e-02,9.638000221559045455e-01
8.690448355999999541e-02,9.636925353310612508e-01
8.744030264999999580e-02,9.635414369409367463e-01
8.790910044999999950e-02,9.634085419652085314e-01
8.842492469999999050e-02,9.632615051211332879e-01
8.899714217500000191e-02,9.630974532751381822e-01
8.945766750000000433e-02,9.629646619246606809e-01
8.992737498750000280e-02,9.628285408806139811e-01
9.045998408333333352e-02,9.626734112005119748e-01
9.103935266000000304e-02,9.625036570214193787e-01
9.145429633999999086e-02,9.623814127509096039e-01
9.191598227142858124e-02,9.622448047517712100e-01
9.239822100000000260e-02,9.621014201424075152e-01
9.294083534999998675e-02,9.619392170011349386e-01
9.342092706666665913e-02,9.617949504971937680e-01
9.393450817142856568e-02,9.616398592673999213e-01
