q,I
2.039995199999999811e-03,4.124777829440651189e-03
2.884988900000000096e-03,4.124752138932357565e-03
4.079990399999999622e-03,4.124700758591403477e-03
4.561568000000000220e-03,4.124675068758743013e-03
5.769977800000000191e-03,4.124598000611980238e-03
6.119985599999999866e-03,4.124572311680126113e-03
6.451031299999999968e-03,4.124546622973470321e-03
7.355307299999999833e-03,4.124469558204647834e-03
8.159980799999999243e-03,4.124392495462504520e-03
8.411115699999999196e-03,4.124366808332151184e-03
8.654966599999999385e-03,4.124341121426970160e-03
9.123135799999999504e-03,4.124289748292131984e-03
1.019997589999999989e-02,4.124161319395460920e-03
1.040197520000000000e-02,4.124135634291608080e-03
1.098571020000000016e-02,4.124058580330959393e-03
1.153995529999999985e-02,4.123981528396627322e-03
1.189511369999999950e-02,4.123930161566122937e-03
1.223997100000000053e-02,4.123878795636156877e-03
1.240880609999999926e-02,4.123853113008861190e-03
1.290206219999999980e-02,4.123776066477739984e-03
1.306234239999999949e-02,4.123750384750934049e-03
1.368470339999999959e-02,4.123647660094899130e-03
1.427996599999999984e-02,4.123544939040613318e-03
1.442494390000000071e-02,4.123519259339770114e-03
1.471061409999999993e-02,4.123467900613395076e-03
1.485138870000000076e-02,4.123442221587861507e-03
1.553614000000000037e-02,4.123313829836398360e-03
1.593287120000000043e-02,4.123236797486436872e-03
1.631996089999999955e-02,4.123159767162146681e-03
1.644696630000000090e-02,4.123134090837469144e-03
1.682223050000000025e-02,4.123057063213871921e-03
1.730993239999999850e-02,4.122954362866411253e-03
1.742972569999999902e-02,4.122928688342185864e-03
1.754870130000000042e-02,4.122903014042950641e-03
1.824627070000000087e-02,4.122748972973397895e-03
1.835995569999999966e-02,4.122723300249434703e-03
1.847294110000000100e-02,4.122697627750447798e-03
1.880782519999999944e-02,4.122620611603549506e-03
1.924527490000000132e-02,4.122517926557847830e-03
1.935309240000000069e-02,4.122492255858968731e-03
2.009162109999999835e-02,4.122312567266339309e-03
2.019492059999999922e-02,4.122286898367297399e-03
2.039995039999999843e-02,4.122235561244259536e-03
2.050169640000000168e-02,4.122209893020239296e-03
2.080394890000000080e-02,4.122132889697805586e-03
2.100303430000000082e-02,4.122081555274297558e-03
2.129817330000000064e-02,4.122004555326339893e-03
2.168544450000000137e-02,4.121901891878230854e-03
2.197141860000000058e-02,4.121824896654144657e-03
2.206591980000000008e-02,4.121799232029264501e-03
2.243994499999999934e-02,4.121696575779312463e-03
2.253248119999999924e-02,4.121670912279096037e-03
2.280783739999999934e-02,4.121593923127937591e-03
2.307990860000000075e-02,4.121516936000924752e-03
2.325952140000000015e-02,4.121465612374233291e-03
2.379022509999999951e-02,4.121311646891485589e-03
2.387752890000000017e-02,4.121285986764868306e-03
2.447993949999999891e-02,4.121106372174805112e-03
2.456479220000000116e-02,4.121080713847018011e-03
2.464935279999999965e-02,4.121055055744181177e-03
2.481760959999999849e-02,4.121003740213201316e-03
