q,I
2.039995199999999811e-03,5.004088845897539800e-03
2.884988900000000096e-03,5.004053608427588319e-03
4.079990399999999622e-03,5.003983134727888610e-03
4.561568000000000220e-03,5.003947898498132575e-03
5.769977800000000191e-03,5.003842192289137403e-03
6.119985599999999866e-03,5.003806957712880754e-03
6.451031299999999968e-03,5.003771723549981822e-03
7.355307299999999833e-03,5.003666023541372340e-03
8.159980799999999243e-03,5.003560327252775004e-03
8.411115699999999196e-03,5.003525095983210949e-03
8.654966599999999385e-03,5.003489865126943027e-03
9.123135799999999504e-03,5.003419404654329411e-03
1.019997589999999989e-02,5.003243260705234410e-03
1.040197520000000000e-02,5.003208033155221064e-03
1.098571020000000016e-02,5.003102352984616953e-03
1.153995529999999985e-02,5.002996676533079563e-03
1.189511369999999950e-02,5.002926227631486131e-03
1.223997100000000053e-02,5.002855780382711205e-03
1.240880609999999926e-02,5.002820557378080159e-03
1.290206219999999980e-02,5.002714890843253451e-03
1.306234239999999949e-02,5.002679669491276980e-03
1.368470339999999959e-02,5.002538788214996694e-03
1.427996599999999984e-02,5.002397913548832509e-03
1.442494390000000071e-02,5.002362695915005091e-03
1.471061409999999993e-02,5.002292261886679206e-03
1.485138870000000076e-02,5.002257045492221506e-03
1.553614000000000037e-02,5.002080969715666167e-03
1.593287120000000043e-02,5.001975329206280810e-03
1.631996089999999955e-02,5.001869692414335870e-03
1.644696630000000090e-02,5.001834480976253758e-03
1.682223050000000025e-02,5.001728849140244654e-03
1.730993239999999850e-02,5.001588012473769801e-03
1.742972569999999902e-02,5.001552804339691460e-03
1.754870130000000042e-02,5.001517596618365417e-03
1.824627070000000087e-02,5.001306358962609271e-03
1.835995569999999966e-02,5.001271154132000407e-03
1.847294110000000100e-02,5.001235949714123892e-03
1.880782519999999944e-02,5.001130338937711563e-03
1.924527490000000132e-02,5.000989530349466555e-03
1.935309240000000069e-02,5.000954329234692623e-03
2.009162109999999835e-02,5.000707932989437512e-03
2.019492059999999922e-02,5.000672735176918751e-03
2.039995039999999843e-02,5.000602340790691498e-03
2.050169640000000168e-02,5.000567144216892801e-03
2.080394890000000080e-02,5.000461556971405076e-03
2.100303430000000082e-02,5.000391167537984217e-03
2.129817330000000064e-02,5.000285586483887643e-03
