q,I
2.039995227691266191e-03,9.973211943179334238e-01
2.039995227691266191e-03,9.973211943179334238e-01
2.039995227691266191e-03,9.973211943179334238e-01
2.039995227691266191e-03,9.973211943179334238e-01
2.884988915472701341e-03,9.973156469550253922e-01
2.884988915472701341e-03,9.973156469550253922e-01
2.884988915472701341e-03,9.973156469550253922e-01
2.884988915472701341e-03,9.973156469550253922e-01
4.079990443907558634e-03,9.973045523227377362e-01
4.079990443907558634e-03,9.973045523227377362e-01
4.079990443907558634e-03,9.973045523227377362e-01
4.079990443907558634e-03,9.973045523227377362e-01
4.561567985786952814e-03,9.972990050533574458e-01
4.561567985786952814e-03,9.972990050533574458e-01
4.561567985786952814e-03,9.972990050533574458e-01
4.561567985786952814e-03,9.972990050533574458e-01
4.561567985786952814e-03,9.972990050533574458e-01
4.561567985786952814e-03,9.972990050533574458e-01
4.561567985786952814e-03,9.972990050533574458e-01
4.561567985786952814e-03,9.972990050533574458e-01
5.769977798489278956e-03,9.972823634322679487e-01
5.769977798489278956e-03,9.972823634322679487e-01
5.769977798489278956e-03,9.972823634322679487e-01
5.769977798489278956e-03,9.972823634322679487e-01
6.119985637173905313e-03,9.972768162875879083e-01
6.119985637173905313e-03,9.972768162875879083e-01
6.119985637173905313e-03,9.972768162875879083e-01
6.119985637173905313e-03,9.972768162875879083e-01
6.451031280947622237e-03,9.972712691740831525e-01
6.451031280947622237e-03,9.972712691740831525e-01
6.451031280947622237e-03,9.972712691740831525e-01
6.451031280947622237e-03,9.972712691740831525e-01
6.451031280947622237e-03,9.972712691740831525e-01
6.451031280947622237e-03,9.972712691740831525e-01
6.451031280947622237e-03,9.972712691740831525e-01
6.451031280947622237e-03,9.972712691740831525e-01
7.355307312395488115e-03,9.972546280206145974e-01
7.355307312395488115e-03,9.972546280206145974e-01
7.355307312395488115e-03,9.972546280206145974e-01
7.355307312395488115e-03,9.972546280206145974e-01
7.355307312395488115e-03,9.972546280206145974e-01
7.355307312395488115e-03,9.972546280206145974e-01
7.355307312395488115e-03,9.972546280206145974e-01
7.355307312395488115e-03,9.972546280206145974e-01
8.159980796015335949e-03,9.972379871477123903e-01
8.159980796015335949e-03,9.972379871477123903e-01
8.159980796015335949e-03,9.972379871477123903e-01
8.159980796015335949e-03,9.972379871477123903e-01
8.411115673360307007e-03,9.972324402524250786e-01
8.411115673360307007e-03,9.972324402524250786e-01
8.411115673360307007e-03,9.972324402524250786e-01
8.411115673360307007e-03,9.972324402524250786e-01
