q,I
2.039995227691266191e-03,9.860406242313257685e-01
2.039995227691266191e-03,9.860406247906052801e-01
2.039995227691266191e-03,9.860406242313257685e-01
2.039995227691266191e-03,9.860406247906052801e-01
2.884988915472701341e-03,9.860340151580884172e-01
2.884988915472701341e-03,9.860340151580884172e-01
2.884988915472701341e-03,9.860340151580884172e-01
2.884988915472701341e-03,9.860340151580884172e-01
4.079990443907558634e-03,9.860207955434714400e-01
4.079990443907558634e-03,9.860207955434714400e-01
4.079990443907558634e-03,9.860207977804977819e-01
4.079990443907558634e-03,9.860207977804977819e-01
4.561567985786952814e-03,9.860141866798826094e-01
4.561567985786952814e-03,9.860141883576292177e-01
4.561567985786952814e-03,9.860141883576292177e-01
4.561567985786952814e-03,9.860141866798826094e-01
4.561567985786952814e-03,9.860141883576292177e-01
4.561567985786952814e-03,9.860141883576292177e-01
4.561567985786952814e-03,9.860141866798826094e-01
4.561567985786952814e-03,9.860141866798826094e-01
5.769977798489278956e-03,9.859943605083494322e-01
5.769977798489278956e-03,9.859943605083494322e-01
5.769977798489278956e-03,9.859943605083494322e-01
5.769977798489278956e-03,9.859943605083494322e-01
6.119985637173905313e-03,9.859877491281555661e-01
6.119985637173905313e-03,9.859877541611199447e-01
6.119985637173905313e-03,9.859877541611199447e-01
6.119985637173905313e-03,9.859877491281555661e-01
6.451031280947622237e-03,9.859811406139610268e-01
6.451031280947622237e-03,9.859811450876455607e-01
6.451031280947622237e-03,9.859811406139610268e-01
6.451031280947622237e-03,9.859811450876455607e-01
6.451031280947622237e-03,9.859811406139610268e-01
6.451031280947622237e-03,9.859811406139610268e-01
6.451031280947622237e-03,9.859811450876455607e-01
6.451031280947622237e-03,9.859811450876455607e-01
7.355307312395488115e-03,9.859613182865196723e-01
7.355307312395488115e-03,9.859613154905817467e-01
7.355307312395488115e-03,9.859613154905817467e-01
7.355307312395488115e-03,9.859613154905817467e-01
7.355307312395488115e-03,9.859613154905817467e-01
7.355307312395488115e-03,9.859613182865196723e-01
7.355307312395488115e-03,9.859613182865196723e-01
7.355307312395488115e-03,9.859613182865196723e-01
8.159980796015335949e-03,9.859414960284729190e-01
8.159980796015335949e-03,9.859414960284729190e-01
8.159980796015335949e-03,9.859414870818393739e-01
8.159980796015335949e-03,9.859414870818393739e-01
8.411115673360307007e-03,9.859348790567558085e-01
8.411115673360307007e-03,9.859348874441098420e-01
8.411115673360307007e-03,9.859348790567558085e-01
8.411115673360307007e-03,9.859348874441098420e-01
8.411115673360307007e-03,9.859348790567558085e-01
8.411115673360307007e-03,9.859348874441098420e-01
8.411115673360307007e-03,9.859348790567558085e-01
8.411115673360307007e-03,9.859348874441098420e-01
8.654966616593607817e-03,9.859282750155790032e-01
8.654966616593607817e-03,9.859282750155790032e-01
8.654966616593607817e-03,9.859282750155790032e-01
8.654966616593607817e-03,9.859282750155790032e-01
9.123135843279811530e-03,9.859150554006715916e-01
9.123135843279811530e-03,9.859150554006715916e-01
9.123135843279811530e-03,9.859150621102789058e-01
9.123135843279811530e-03,9.859150554006715916e-01
9.123135843279811530e-03,9.859150621102789058e-01
9.123135843279811530e-03,9.859150621102789058e-01
9.123135843279811530e-03,9.859150621102789058e-01
9.123135843279811530e-03,9.859150554006715916e-01
1.019997590895688026e-02,9.858820173710258761e-01
1.019997590895688026e-02,9.858820212846954867e-01
1.019997590895688026e-02,9.858820123391652812e-01
1.019997590895688026e-02,9.858820212846954867e-01
1.019997590895688026e-02,9.858820173710258761e-01
1.019997590895688026e-02,9.858820173710258761e-01
1.019997590895688026e-02,9.858820212846954867e-01
1.019997590895688026e-02,9.858820212846954867e-01
1.019997590895688026e-02,9.858820263165560815e-01
1.019997590895688026e-02,9.858820173710258761e-01
1.019997590895688026e-02,9.858820263165560815e-01
1.019997590895688026e-02,9.858820123391652812e-01
1.040197522983762890e-02,9.858754183609820254e-01
1.040197522983762890e-02,9.858754049428708477e-01
1.040197522983762890e-02,9.858754049428708477e-01
1.040197522983762890e-02,9.858754049428708477e-01
1.040197522983762890e-02,9.858754183609820254e-01
