q,I
2.039995227691266191e-03,9.760390441824281504e-01
2.039995227691266191e-03,9.760390441824281504e-01
2.039995227691266191e-03,9.760390441824281504e-01
2.039995227691266191e-03,9.760390441824281504e-01
2.884988915472701341e-03,9.760321683521577807e-01
2.884988915472701341e-03,9.760321683521577807e-01
2.884988915472701341e-03,9.760321683521577807e-01
2.884988915472701341e-03,9.760321683521577807e-01
4.079990443907558634e-03,9.760184169337557947e-01
4.079990443907558634e-03,9.760184169337557947e-01
4.079990443907558634e-03,9.760184169337557947e-01
4.079990443907558634e-03,9.760184169337557947e-01
4.561567985786952814e-03,9.760115413456216249e-01
4.561567985786952814e-03,9.760115413456216249e-01
4.561567985786952814e-03,9.760115413456216249e-01
4.561567985786952814e-03,9.760115413456216249e-01
4.561567985786952814e-03,9.760115413456216249e-01
4.561567985786952814e-03,9.760115413456216249e-01
4.561567985786952814e-03,9.760115413456216249e-01
4.561567985786952814e-03,9.760115413456216249e-01
5.769977798489278956e-03,9.759909150654707544e-01
5.769977798489278956e-03,9.759909150654707544e-01
5.769977798489278956e-03,9.759909150654707544e-01
5.769977798489278956e-03,9.759909150654707544e-01
6.119985637173905313e-03,9.759840398001669026e-01
6.119985637173905313e-03,9.759840398001669026e-01
6.119985637173905313e-03,9.759840398001669026e-01
6.119985637173905313e-03,9.759840398001669026e-01
6.451031280947622237e-03,9.759771646155679381e-01
6.451031280947622237e-03,9.759771646155679381e-01
6.451031280947622237e-03,9.759771646155679381e-01
6.451031280947622237e-03,9.759771646155679381e-01
6.451031280947622237e-03,9.759771646155679381e-01
6.451031280947622237e-03,9.759771646155679381e-01
6.451031280947622237e-03,9.759771646155679381e-01
6.451031280947622237e-03,9.759771646155679381e-01
7.355307312395488115e-03,9.759565395459846027e-01
7.355307312395488115e-03,9.759565395459846027e-01
7.355307312395488115e-03,9.759565395459846027e-01
7.355307312395488115e-03,9.759565395459846027e-01
7.355307312395488115e-03,9.759565395459846027e-01
7.355307312395488115e-03,9.759565395459846027e-01
7.355307312395488115e-03,9.759565395459846027e-01
7.355307312395488115e-03,9.759565395459846027e-01
