q,I
2.039995227691266191e-03,9.760115375345231881e-01
2.039995227691266191e-03,9.760115381803081691e-01
2.039995227691266191e-03,9.760115375345231881e-01
2.039995227691266191e-03,9.760115381803081691e-01
2.884988915472701341e-03,9.760046626728446917e-01
2.884988915472701341e-03,9.760046626728446917e-01
2.884988915472701341e-03,9.760046626728446917e-01
2.884988915472701341e-03,9.760046626728446917e-01
4.079990443907558634e-03,9.759909112542862752e-01
4.079990443907558634e-03,9.759909112542862752e-01
4.079990443907558634e-03,9.759909138373056292e-01
4.079990443907558634e-03,9.759909138373056292e-01
4.561567985786952814e-03,9.759840366346987928e-01
4.561567985786952814e-03,9.759840385719332767e-01
4.561567985786952814e-03,9.759840385719332767e-01
4.561567985786952814e-03,9.759840366346987928e-01
4.561567985786952814e-03,9.759840385719332767e-01
4.561567985786952814e-03,9.759840385719332767e-01
4.561567985786952814e-03,9.759840366346987928e-01
4.561567985786952814e-03,9.759840366346987928e-01
5.769977798489278956e-03,9.759634132600375489e-01
5.769977798489278956e-03,9.759634132600375489e-01
5.769977798489278956e-03,9.759634132600375489e-01
5.769977798489278956e-03,9.759634132600375489e-01
6.119985637173905313e-03,9.759565357346562386e-01
6.119985637173905313e-03,9.759565415459993121e-01
6.119985637173905313e-03,9.759565415459993121e-01
6.119985637173905313e-03,9.759565357346562386e-01
6.451031280947622237e-03,9.759496615185285773e-01
6.451031280947622237e-03,9.759496666840870027e-01
6.451031280947622237e-03,9.759496615185285773e-01
6.451031280947622237e-03,9.759496666840870027e-01
6.451031280947622237e-03,9.759496615185285773e-01
6.451031280947622237e-03,9.759496615185285773e-01
6.451031280947622237e-03,9.759496666840870027e-01
6.451031280947622237e-03,9.759496666840870027e-01
7.355307312395488115e-03,9.759290425825335458e-01
7.355307312395488115e-03,9.759290393542096043e-01
7.355307312395488115e-03,9.759290393542096043e-01
7.355307312395488115e-03,9.759290393542096043e-01
7.355307312395488115e-03,9.759290393542096043e-01
7.355307312395488115e-03,9.759290425825335458e-01
7.355307312395488115e-03,9.759290425825335458e-01
7.355307312395488115e-03,9.759290425825335458e-01
8.159980796015335949e-03,9.759084237266738571e-01
8.159980796015335949e-03,9.759084237266738571e-01
8.159980796015335949e-03,9.759084133965182373e-01
